product_1_name,product_2_id,product_2_name,size_unit_1,retailer_1,match_source,price_1,brand_1,lexical_similarity,brand_similarity,price_2,size_value_2,category,size_value_1,size_unit_2,brand_2,currency_2,currency_1,similarity,product_1_id,size_similarity,retailer_2
Bronnley Eclectic Elements Body Butter,PRD6f3fe59b,Bronnley Eclectic Elements Zealous Flower Body Butter,ml,eBay,main_engine,13.36,Bronnley Eclectic,88.57,100.0,13.36,200.0,Body Butter,200.0,ml,Bronnley Eclectic,GBP,GBP,100.0,PRD09d04044,100.0,eBay
Tree Hut Whipped Body Butter Vanilla,PRD7afe8a16,Tree Hut Coco Colada Whipped Body Butter,,Boots.com,main_engine,11.99,Tree Hut,77.5,100.0,11.99,,Body Butter,,,Tree Hut,GBP,GBP,100.0,PRD0ac1e5bb,50.0,Boots.com
Tree Hut Whipped Body Butter Vanilla,PRD3e158b60,Tree Hut Whipped Body Butter,,Boots.com,main_engine,11.99,Tree Hut,93.33,100.0,15.99,,Body Butter,,,Tree Hut,GBP,GBP,100.0,PRD0ac1e5bb,50.0,Holland & Barrett
Tree Hut Whipped Body Butter Vanilla,PRD8fe440bd,Tree Hut Tropic Glow Whipped Body Butter,,Boots.com,main_engine,11.99,Tree Hut,77.5,100.0,11.99,,Body Butter,,,Tree Hut,GBP,GBP,99.1,PRD0ac1e5bb,50.0,Boots.com
Tree Hut Whipped Body Butter Vanilla,PRD4a89a3ef,Tree Hut Moroccan Rose Whipped Body Butter,,Boots.com,main_engine,11.99,Tree Hut,77.5,100.0,15.99,,Body Butter,,,Tree Hut,GBP,GBP,96.9,PRD0ac1e5bb,50.0,Boots.com
Tree Hut Whipped Body Butter Vanilla,PRD3b9ce914,Tree Hut Tropic Glow Firming Whipped Body Butter,,Boots.com,main_engine,11.99,Tree Hut,74.72,100.0,15.99,,Body Butter,,,Tree Hut,GBP,GBP,96.0,PRD0ac1e5bb,50.0,Holland & Barrett
Tree Hut Whipped Body Butter Vanilla,PRD1c771653,skinnydip london Supermarket Vanilla Body Butter,,Boots.com,main_engine,11.99,Tree Hut,54.79,50.0,8.0,200.0,Body Butter,,g,,GBP,GBP,68.7,PRD0ac1e5bb,50.0,Skinnydip
Kelpie Shampoo Bar for Curly Hair,PRD177717f8,Miracube Hair Shampoo Bar For Curly Hair,,Tappermade,post_processing,8.3,Kelpie Shampoo,81.45,0.0,11.57,,Shampoo Bar,,,Miracube Hair,GBP,GBP,66.5,PRD0b303547,50.0,eBay
"Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair for Women and Men 1pc",PRDf2daad50,"2025 Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",,fruugo.co.uk,main_engine,11.88,Nature Triangle,92.63,50.0,6.89,1.0,Shampoo Bar,,pcs,,GBP,GBP,92.3,PRD0d372918,50.0,fruugo.co.uk
"Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair for Women and Men 1pc",PRDd8d93ae9,"1-3x Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",,fruugo.co.uk,main_engine,11.88,Nature Triangle,91.01,50.0,12.95,1.0,Shampoo Bar,,pcs,,GBP,GBP,92.2,PRD0d372918,50.0,fruugo.co.uk
Unscented Conditioner Solid Bar,PRDe76a14df,Unscented Conditioner Bars,,Megan and Willow,main_engine,4.0,Unscented Conditioner,70.74,100.0,10.0,,Conditioner Bar,,,Unscented Conditioner,GBP,GBP,98.3,PRD0e1b0d18,50.0,Pentland Aromatics
Kitsch Shampoo Bar Rice Water Protein,PRD67261e04,Kitsch Biotin Purple Toning Shampoo Bar,,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,8.39,Kitsch,57.54,100.0,11.0,,Shampoo Bar,,,Kitsch,GBP,GBP,75.8,PRD0f0d0418,50.0,Kitsch
Kitsch Shampoo Bar Rice Water Protein,PRDbac6a177,Kitsch Tea Tree & Mint Clarifying Shampoo Bar,,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,8.39,Kitsch,54.0,100.0,11.0,,Shampoo Bar,,,Kitsch,GBP,GBP,75.1,PRD0f0d0418,50.0,Kitsch
Arista Shampoo Bar Anti-dandruff,PRD0ab70cfb,Arista Anti-Dandruff Shampoo Bar,g,Fairhaven Wholefoods,main_engine,6.89,Arista Shampoo,100.0,0.0,6.75,,Shampoo Bar,80.0,,Arista Anti-Dandruff,GBP,GBP,84.6,PRD0f733f9f,50.0,Dolphin Fitness
Arista Shampoo Bar Anti-dandruff,PRDfa3f214e,Handmade Anti-dandruff Shampoo Bar For Hair Growth Care Soap,g,Fairhaven Wholefoods,main_engine,6.89,Arista Shampoo,67.18,0.0,18.67,80.0,Shampoo Bar,80.0,g,Handmade Anti-dandruff,GBP,GBP,77.8,PRD0f733f9f,100.0,eBay - mount0851
Arista Shampoo Bar Anti-dandruff,PRD7a86bc0c,Hair Shampoo Bar Soap Weakly Alkaline Anti Dandruff For Oil,g,Fairhaven Wholefoods,main_engine,6.89,Arista Shampoo,67.18,0.0,6.44,85.0,Shampoo Bar,80.0,g,Hair Shampoo,GBP,GBP,68.2,PRD0f733f9f,50.0,eBay - suntekmall
Arista Shampoo Bar Anti-dandruff,PRDa31876c5,Hair Shampoo Bar Soap Organic Ecofriendly Anti Dandruff For Growth,g,Fairhaven Wholefoods,main_engine,6.89,Arista Shampoo,67.18,0.0,6.36,85.0,Shampoo Bar,80.0,g,Hair Shampoo,GBP,GBP,67.1,PRD0f733f9f,50.0,eBay - sitedv88
Arista Shampoo Bar Anti-dandruff,PRDccecf3d2,3 Dandruff Shampoo Bars Abyssinian Oil & Black Jamaican Castor Oil,g,Fairhaven Wholefoods,main_engine,6.89,Arista Shampoo,46.67,50.0,23.16,,Shampoo Bar,80.0,,,GBP,GBP,65.1,PRD0f733f9f,50.0,eBay - clearandsmooth
La Roche Posay Hyalu B5 Hyaluronic Acid Serum,PRDc42260e7,La Roche Posay Pure Anti-Wrinkle Serum,,Superdrug.com,main_engine,35.98,La Roche,55.92,100.0,36.0,,Face Serum,,,La Roche,GBP,GBP,81.1,PRD1013f8e3,50.0,Boots.com
La Roche Posay Hyalu B5 Hyaluronic Acid Serum,PRDadd6c147,La Roche Posay Hydraphase Intense Serum,,Superdrug.com,main_engine,35.98,La Roche,56.68,100.0,21.75,,Face Serum,,,La Roche,GBP,GBP,78.5,PRD1013f8e3,50.0,Amazon.co.uk
Wilko Simple Niacinamide Serum,PRDd65f77fd,Niacinamide Serum,,Tesco,main_engine,10.0,Wilko Simple,80.0,0.0,10.0,30.0,Face Serum,,ml,Niacinamide Serum,GBP,GBP,66.0,PRD1076b461,50.0,tangerins.com
Garnier Brightening Serum,PRDf1dd78e3,Garnier Vitamin C Brightening and Anti Dark Spot Serum Duo,,Boots.com,main_engine,9.33,Garnier,72.0,100.0,19.49,,Face Serum,,,Garnier,GBP,GBP,91.2,PRD13bb90a1,50.0,LOOKFANTASTIC
"Solid Shampoo Bar & Conditioner Bar Set For Curly, Wavy, Coily And",PRD49a2a30e,"Solid Shampoo For Curly Hair, 80",,eBay,main_engine,12.47,Solid Shampoo,64.44,100.0,28.41,,Shampoo Bar,,,Solid Shampoo,GBP,GBP,95.8,PRD1558042d,50.0,eBay - onebioshopcom
"Solid Shampoo Bar & Conditioner Bar Set For Curly, Wavy, Coily And",PRDb636b1e0,"Solid Shampoo For Oily Hair, 80",,eBay,main_engine,12.47,Solid Shampoo,52.64,100.0,28.41,,Shampoo Bar,,,Solid Shampoo,GBP,GBP,74.2,PRD1558042d,50.0,eBay - onebioshopcom
"Solid Shampoo Bar & Conditioner Bar Set For Curly, Wavy, Coily And",PRD4aeb7397,"Solid Shampoo Bar for Hair Growth for Itchy Scalp, Men & Women, Shampoo for Thinning Hair, Rough Hair, and Silky (Colongne)",,eBay,main_engine,12.47,Solid Shampoo,46.14,100.0,4.99,,Shampoo Bar,,,Solid Shampoo,GBP,GBP,72.8,PRD1558042d,50.0,Amazon.co.uk - Amazon.co.uk-Seller
Hair Regrowth Shampoo Bar,PRD94df6e4e,Shampoo Bar,,Amazon.co.uk - Amazon.co.uk-Seller,post_processing,9.5,Hair Regrowth,80.0,0.0,4.99,,Shampoo Bar,,,Shampoo Bar,GBP,GBP,65.0,PRD15ae5319,50.0,The Suffolk Soap Co.
ethique Clarifying Shampoo Bar for Oily Hair & Scalp 10 Uses,PRDe35a5fb3,ethique Smoothing Shampoo Bar for Frizzy Hair 10 Uses,,Ethique GB,main_engine,3.0,,71.87,50.0,3.0,,Shampoo Bar,,,,GBP,GBP,74.0,PRD164e18d5,50.0,Ethique GB
ethique Clarifying Shampoo Bar for Oily Hair & Scalp 10 Uses,PRD90aff6de,Balancing Natural Shampoo Bar for Oily Hair - - AA SKINCARE,,Ethique GB,main_engine,3.0,,56.76,50.0,6.25,50.0,Shampoo Bar,,g,Balancing Natural,GBP,GBP,65.5,PRD164e18d5,50.0,The Evolution
"20% Vitamin C Serum, Korean Serum with Hyaluronic Acid, Anti Aging Face Serums For Wrinkles & Fine Lines, Moisturizing Dark Spot Remover for Face",PRD736548b6,"20% Vitamin C Serum, Korean Skin Care Serum with Hyaluronic Acid, Anti-aging Face Serum for Dry and Dull Skin, Reduce Wrinkles & Fine Lines, Fast",,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,7.99,,72.08,50.0,7.19,,Face Serum,,,,GBP,GBP,90.2,PRD16ccacb6,50.0,Amazon.co.uk - Amazon.co.uk-Seller
