retailer_id,source_id,retailer_name
RETa0fa6f9c,SRC00000001,Amazon.co.uk - Amazon.co.uk-Seller
RET2dc18368,SRC00000001,Dolphin Fitness
RET0ad38a55,SRC00000001,Amazon.co.uk
RETd0241f94,SRC00000001,Boots.com
RET100de238,SRC00000001,Tesco
RET6003a530,SRC00000001,Friendly Soap
RET0aa3e2c2,SRC00000001,Only Curls
RETcce16833,SRC00000001,Discount Dragon
RET8ce345ae,SRC00000001,North Laine Hair Company
RET6c06f88c,SRC00000001,Holland & Barrett
RETd727216d,SRC00000001,The Scottish Fine Soaps Company
RET46100c4f,SRC00000001,HEIMA
RET6ac55fa5,SRC00000001,Cult Beauty
RETa2b176ea,SRC00000001,Collectables - Junction 32
RET20c40eed,SRC00000001,The Earthling Co.
RET0f11defc,SRC00000001,Bare Bar
RET73f7c3d6,SRC00000001,LUSH
RETb27cc288,SRC00000001,Ethical Superstore
RET608351c8,SRC00000001,The Highland Soap Company
RET9edfdf8b,SRC00000001,New Dawn Organic Skin and Hair Care
RETf5b28a6c,SRC00000001,Superdrug.com
RET28253998,SRC00000001,eBay
RET510fb6e8,SRC00000001,BigGreenSmile.com
RETceb0aaa8,SRC00000001,Salon Services
RET42e2b1ed,SRC00000001,Buddha & Bubbles Soap Co
RET7e04650c,SRC00000001,Cosma Parfumeries
RET58e62e09,SRC00000001,Know The Origin
RETf4bf3041,SRC00000001,Soul and Soap
RET9db3f2b6,SRC00000001,grüum
RET7e6e9c9f,SRC00000001,The Dartmoor Skincare Company
RETae67e2fb,SRC00000001,Boozyshop
RETf965f523,SRC00000001,Bloom In Soap
RET33801aa1,SRC00000001,medino
RETd333684a,SRC00000001,wideye.co.uk
RET9b63be40,SRC00000001,Approved Food
RET38ef123e,SRC00000001,KIND2
RET7fb51180,SRC00000001,Simply Soaperior
RET0afd6d77,SRC00000001,Roots Vegan Skincare
RETf74c1730,SRC00000001,Pak Cosmetic Centre
RETcd67d3d9,SRC00000001,The Soap People
RET74c4a538,SRC00000001,Ecco-Verde.co.uk
RETf78d55e5,SRC00000001,fruugo.co.uk
RETf3153ed5,SRC00000001,eBay - mastersconi
RET88db6c73,SRC00000001,Horace
RET366046d4,SRC00000001,Luxurious Look
RETc7875360,SRC00000001,EkoFace
RET77aefeb0,SRC00000001,The Green Turtle
RET5d405dd5,SRC00000001,Notino.co.uk
RETe784f364,SRC00000001,Peace With The Wild
RETd4bf8a3a,SRC00000001,Simply Essential
RETcbb9bd1f,SRC00000001,eBay - attractc
RETb8a109aa,SRC00000001,Face&Co
RETb87b6a76,SRC00000001,Dook
RET4c22149e,SRC00000001,Debenhams
RET9c5a5248,SRC00000001,Shaba
RET69b7560a,SRC00000001,Naturitas
RET35dc2264,SRC00000001,Hairlust
RET820a9fe9,SRC00000001,eBay - vibrantandvogue
RET11be1768,SRC00000001,Bloom & Brew
RETe13fda08,SRC00000001,Silkrute
RET56a9d438,SRC00000001,Panier des Sens
RETadf2d557,SRC00000001,John Bell & Croyden
RET5803397d,SRC00000001,eBay - huaruishop
RETff985096,SRC00000001,Independent Design Collective
RET0a20c13d,SRC00000001,mypure.co.uk
RET5b2225bc,SRC00000001,eBay - cutpricepharmacy
RET8a84b8a8,SRC00000001,GoSupps Beauty
RETaee6c0db,SRC00000001,Proshave.com
RETc08019dc,SRC00000001,Babi Pur
RETa19252d9,SRC00000001,Sheffield Skincare Company
RET30daad7b,SRC00000001,Replenhair
RETa4ecb460,SRC00000001,Salon Trusted
RET8fd7e9f5,SRC00000001,Opentip.com
RETbf709635,SRC00000001,thesoapshackuk.com
RET3f9be74e,SRC00000001,Rainbow Life
RETb20ba64c,SRC00000001,An'du
RET17b13068,SRC00000001,FFS Beauty UK
RET68fa91aa,SRC00000001,eBay - gudz_uk
RET5f2dd032,SRC00000001,Naiga Naturals
RETcb316d50,SRC00000001,British Chemist
RETb75e7196,SRC00000001,The Suffolk Soap Co.
RETb21ee708,SRC00000001,Weigh and Pay
RET698feada,SRC00000001,Health Emporium
RET00d1df6a,SRC00000001,Cerqular
RET6c121457,SRC00000001,eBay - marks-india
RETca7df247,SRC00000001,lovetob.co.uk
