retailer_id,source_id,retailer_name
RETd3a15998,SRC00000001,eBay - yongyindww
RET02f56271,SRC00000001,eBay - *natures*wonderland*
RET28253998,SRC00000001,eBay
RET0a66f3e5,SRC00000001,bio-naturel.de
RETa0fa6f9c,SRC00000001,Amazon.co.uk - Amazon.co.uk-Seller
RET7fb51180,SRC00000001,Simply Soaperior
RET135ef799,SRC00000001,Refill Reuse Renew
RET21d1cbbe,SRC00000001,Fox & Marsh - Eco Dorset
RET68fa91aa,SRC00000001,eBay - gudz_uk
RET3fda77c2,SRC00000001,pure-keratin.com
RET7e67dcbc,SRC00000001,Zero Store
RET77aefeb0,SRC00000001,The Green Turtle
RETde2603b9,SRC00000001,The Wee Bits
RET87e5449e,SRC00000001,Riwaya
RETc2d1eaf1,SRC00000001,Handmade Fever
RET6a6c572a,SRC00000001,Ita's Natural Essentials
RET8bf5762c,SRC00000001,Live in the Light
RETa740a084,SRC00000001,Simply Be
RET432e676d,SRC00000001,eBay - runwaybeautystore
RET8cdd0863,SRC00000001,eBay - qottagehomeart
RETb6363d00,SRC00000001,eBay - damselontherocks
