price_id,product_id,retailer_id,price,discount,currency,date_collected
PRC00000001,PRD27fa7692,RETa0fa6f9c,8.44,,GBP,20251105_141448
PRC00000002,PRD3ca5fdea,RET28253998,22.27,,GBP,20251105_141448
PRC00000003,PRDbb09309a,RET3922bcfe,6.95,,GBP,20251105_141448
PRC00000004,PRD459b7e1a,RET0ad38a55,4.15,,GBP,20251105_141448
PRC00000005,PRD93f62a87,RET9c5a5248,4.99,,GBP,20251105_141448
PRC00000006,PRD83030fe5,RET5b8a4ea7,7.99,,GBP,20251105_141448
PRC00000007,PRDe167155d,RET6c06f88c,7.0,,GBP,20251105_141448
PRC00000008,PRD567b4fab,RETa0fa6f9c,9.99,,GBP,20251105_141448
PRC00000009,PRD3631838b,RETd333684a,9.95,,GBP,20251105_141448
PRC00000010,PRDc39c546e,RET100de238,5.5,,GBP,20251105_141448
PRC00000011,PRDcbfb5f45,RETa0fa6f9c,5.15,,GBP,20251105_141448
PRC00000012,PRD30970a99,RET0f11defc,8.5,,GBP,20251105_141448
PRC00000013,PRD66f66ed5,RETa0fa6f9c,3.95,,GBP,20251105_141448
PRC00000014,PRD5c5ab1fe,RETb20ba64c,13.5,,GBP,20251105_141448
PRC00000015,PRDddea4a9b,RET9be45ffc,12.0,,GBP,20251105_141448
PRC00000016,PRDf52f358e,RET9db3f2b6,12.0,,GBP,20251105_141448
PRC00000017,PRDa5b0918f,RET02f56271,4.68,,GBP,20251105_141448
PRC00000018,PRD3ac1f6ed,RETa0fa6f9c,4.95,,GBP,20251105_141448
PRC00000019,PRD1ebd7050,RETe55aa808,10.64,,GBP,20251105_141448
PRC00000020,PRDe42b3890,RET6c06f88c,7.0,,GBP,20251105_141448
PRC00000021,PRD1866ff06,RET2dc18368,6.45,,GBP,20251105_141448
PRC00000022,PRD351cfc6f,RET00d1df6a,17.82,,GBP,20251105_141448
PRC00000023,PRDa92dab66,RETa0fa6f9c,9.11,,GBP,20251105_141448
PRC00000024,PRDc111bd5a,RET9583b140,5.0,,GBP,20251105_141448
PRC00000025,PRD1558042d,RET28253998,12.47,,GBP,20251105_141448
PRC00000026,PRDdd3c33b5,RET93016f3e,8.99,,GBP,20251105_141448
PRC00000027,PRD9a315509,RETf3335b84,22.5,,GBP,20251105_141448
PRC00000028,PRDa5594821,RETa0fa6f9c,4.99,,GBP,20251105_141448
PRC00000029,PRDb84d125e,RET9db3f2b6,9.0,,GBP,20251105_141448
PRC00000030,PRDc5b4000d,RETff57f2a1,9.85,,GBP,20251105_141448
PRC00000031,PRD529140f6,RET6003a530,3.25,,GBP,20251105_141448
PRC00000032,PRD9a7d001f,RET305cec10,5.95,,GBP,20251105_141448
PRC00000033,PRD72a32054,RETa0fa6f9c,9.48,,GBP,20251105_141448
PRC00000034,PRD4ce73b60,RET42e2b1ed,8.0,,GBP,20251105_141448
PRC00000035,PRDc3c3e186,RETcce16833,2.99,,GBP,20251105_141448
PRC00000036,PRD9e36dca1,RET847bb700,17.4,,GBP,20251105_141448
PRC00000037,PRDf3e97cb3,RETd0241f94,9.0,,GBP,20251105_141448
PRC00000038,PRDf3ca8d29,RETcd67d3d9,6.95,,GBP,20251105_141448
PRC00000039,PRD1b84c93f,RET464aaf4d,10.0,,GBP,20251105_141448
PRC00000040,PRDaa501f7b,RET0ad38a55,5.26,,GBP,20251105_141448
PRC00000041,PRD83f84d5b,RET100de238,4.0,,GBP,20251105_141448
PRC00000042,PRDe42b3890,RET6c06f88c,7.0,,GBP,20251105_141448
PRC00000043,PRDc39c546e,RET100de238,5.5,,GBP,20251105_141448
PRC00000044,PRDe167155d,RET6c06f88c,7.0,,GBP,20251105_141448
PRC00000045,PRDe86336bb,RET100de238,4.0,,GBP,20251105_141448
PRC00000046,PRD071b7656,RETa0fa6f9c,4.99,,GBP,20251105_141515
PRC00000047,PRDce1c9d0c,RET5d405dd5,3.9,,GBP,20251105_141515
PRC00000048,PRDe0b70b3d,RETa19252d9,3.5,,GBP,20251105_141515
PRC00000049,PRDf9bcb5b6,RETa0fa6f9c,4.73,,GBP,20251105_141515
PRC00000050,PRDce480ae0,RETff44b670,10.0,,GBP,20251105_141515
PRC00000051,PRD7c30e76c,RET310710e8,8.0,,GBP,20251105_141515
PRC00000052,PRDb04e10b3,RETa0fa6f9c,6.95,,GBP,20251105_141515
PRC00000053,PRD8cd78c8d,RETdd7b5e2b,12.5,,GBP,20251105_141515
PRC00000054,PRD8106836a,RETb27cc288,8.99,,GBP,20251105_141515
PRC00000055,PRD027ec32b,RET6adb005a,6.09,,GBP,20251105_141515
PRC00000056,PRDcd1d8422,RETa0fa6f9c,19.99,,GBP,20251105_141515
PRC00000057,PRDb1455940,RETb76d61f2,8.99,,GBP,20251105_141515
PRC00000058,PRDbec37e07,RET49c5a5f6,5.35,,GBP,20251105_141515
PRC00000059,PRDc0f51385,RET0ad38a55,4.15,,GBP,20251105_141515
PRC00000060,PRD78e8095b,RET900d97ec,9.78,,GBP,20251105_141515
PRC00000061,PRD2ff1c319,RET30daad7b,17.49,,GBP,20251105_141515
PRC00000062,PRD51e2c765,RETa0fa6f9c,6.56,,GBP,20251105_141515
PRC00000063,PRD34ea7b7a,RETf5b28a6c,6.95,,GBP,20251105_141515
PRC00000064,PRDe2b648a3,RETe784f364,7.0,,GBP,20251105_141515
PRC00000065,PRDd303c68c,RET73f7c3d6,10.0,,GBP,20251105_141515
PRC00000066,PRD529140f6,RET2aece9ad,2.99,,GBP,20251105_141515
PRC00000067,PRD70073574,RETf4bf3041,8.49,,GBP,20251105_141515
PRC00000068,PRD4feb3c47,RET7e6e9c9f,6.85,,GBP,20251105_141515
PRC00000069,PRD9b79b834,RETa0fa6f9c,7.22,,GBP,20251105_141515
PRC00000070,PRD66f66ed5,RETa0fa6f9c,3.95,,GBP,20251105_141515
PRC00000071,PRD4efe843e,RET96cc20ef,10.0,,GBP,20251105_141515
PRC00000072,PRDa5594821,RETa0fa6f9c,4.49,,GBP,20251105_141515
PRC00000073,PRD324be61a,RETa0fa6f9c,6.99,,GBP,20251105_141515
PRC00000074,PRD38be4dde,RET6003a530,33.15,,GBP,20251105_141515
PRC00000075,PRDbbcd9622,RET0ad38a55,30.71,,GBP,20251105_141515
PRC00000076,PRDb46a5a02,RET7fb51180,3.0,,GBP,20251105_141515
PRC00000077,PRDc7d7dd44,RETa0fa6f9c,4.99,,GBP,20251105_141515
PRC00000078,PRDfebbb9a2,RETa0fa6f9c,7.89,,GBP,20251105_141515
PRC00000079,PRDbe4a00e2,RETa0fa6f9c,12.99,,GBP,20251105_141515
PRC00000080,PRD51a7ca60,RET7e04650c,11.62,,GBP,20251105_141515
PRC00000081,PRD2e32377b,RETcd67d3d9,6.95,,GBP,20251105_141515
PRC00000082,PRDdd76c9c5,RETcd67d3d9,6.95,,GBP,20251105_141515
PRC00000083,PRD645c018b,RET85f9b619,4.95,,GBP,20251105_141515
PRC00000084,PRDabbb7c5e,RETdda22816,8.4,,GBP,20251105_141515
PRC00000085,PRD48321c1e,RETa0fa6f9c,6.65,,GBP,20251105_141515
PRC00000086,PRD1d4513c4,RETa0fa6f9c,9.49,,GBP,20251105_141530
PRC00000087,PRD19d673ea,RETbf709635,2.0,,GBP,20251105_141530
PRC00000088,PRDbe4a00e2,RETa0fa6f9c,12.99,,GBP,20251105_141530
PRC00000089,PRD071106d5,RETd333684a,6.95,,GBP,20251105_141530
PRC00000090,PRD93f62a87,RET9c5a5248,4.99,,GBP,20251105_141530
PRC00000091,PRD3ac1f6ed,RETa0fa6f9c,4.95,,GBP,20251105_141530
PRC00000092,PRD7314954f,RETa0fa6f9c,11.99,,GBP,20251105_141530
PRC00000093,PRD9c6041b8,RET0ad38a55,6.5,,GBP,20251105_141530
PRC00000094,PRD0b303547,RET008fba75,8.5,,GBP,20251105_141530
PRC00000095,PRD72b4043d,RET0ad38a55,9.0,,GBP,20251105_141530
PRC00000096,PRDd36ae70e,RETe876f4d6,5.55,,GBP,20251105_141530
PRC00000097,PRDecef3e74,RETd8d204ab,7.5,,GBP,20251105_141530
PRC00000098,PRD2b74d900,RET283501d6,7.95,,GBP,20251105_141530
PRC00000099,PRD39a03679,RET6efa5192,3.0,,GBP,20251105_141530
PRC00000100,PRDda0046d0,RET847bb700,17.4,,GBP,20251105_141530
PRC00000101,PRDef7cc7f3,RETe55aa808,8.99,,GBP,20251105_141530
PRC00000102,PRD2e32377b,RETcd67d3d9,6.95,,GBP,20251105_141530
PRC00000103,PRDec36809c,RETa0fa6f9c,7.98,,GBP,20251105_141530
PRC00000104,PRD49e2dda5,RETd333684a,6.95,,GBP,20251105_141530
PRC00000105,PRD85157107,RETa0fa6f9c,15.0,,GBP,20251105_141530
PRC00000106,PRD9e36dca1,RET847bb700,17.4,,GBP,20251105_141530
PRC00000107,PRD80c7c551,RET048ccc30,8.5,,GBP,20251105_141530
PRC00000108,PRDea3161d6,RETa0fa6f9c,7.45,,GBP,20251105_141530
PRC00000109,PRD3d2887a7,RETec140568,6.5,,GBP,20251105_141530
PRC00000110,PRD214bc95b,RET8cac7ec0,2.8,,GBP,20251105_141530
PRC00000111,PRD201ab1cd,RETa0fa6f9c,16.0,,GBP,20251105_141530
PRC00000112,PRDc3176ee6,RETe55aa808,2.33,,GBP,20251105_141530
PRC00000113,PRD0b188afa,RETa0fa6f9c,16.0,,GBP,20251105_141530
PRC00000114,PRDa5cfe8d8,RET75f3fd1e,9.5,,GBP,20251105_141530
PRC00000115,PRDbb2b1ae8,RETee8a8941,8.25,,GBP,20251105_141530
