retailer_id,source_id,retailer_name
RETa0fa6f9c,SRC00000001,Amazon.co.uk - Amazon.co.uk-Seller
RET28253998,SRC00000001,eBay
RET3922bcfe,SRC00000001,Folk Soap
RET0ad38a55,SRC00000001,Amazon.co.uk
RET9c5a5248,SRC00000001,Shaba
RET5b8a4ea7,SRC00000001,eBay - laic13-shop
RET6c06f88c,SRC00000001,Holland & Barrett
RETd333684a,SRC00000001,wideye.co.uk
RET100de238,SRC00000001,Tesco
RET0f11defc,SRC00000001,Bare Bar
RETb20ba64c,SRC00000001,An'du
RET9be45ffc,SRC00000001,Fat Buddha Store
RET9db3f2b6,SRC00000001,grüum
RET02f56271,SRC00000001,eBay - *natures*wonderland*
RETe55aa808,SRC00000001,REGN
RET2dc18368,SRC00000001,Dolphin Fitness
RET00d1df6a,SRC00000001,Cerqular
RET9583b140,SRC00000001,Loving SCENTiments
RET93016f3e,SRC00000001,Lavandi Body & Nature
RETf3335b84,SRC00000001,KinKind
RETff57f2a1,SRC00000001,Cheeks Ahoy
RET6003a530,SRC00000001,Friendly Soap
RET305cec10,SRC00000001,Male Grooming Supplies
RET42e2b1ed,SRC00000001,Buddha & Bubbles Soap Co
RETcce16833,SRC00000001,Discount Dragon
RET847bb700,SRC00000001,Blanda Beauty
RETd0241f94,SRC00000001,Boots.com
RETcd67d3d9,SRC00000001,The Soap People
RET464aaf4d,SRC00000001,Beauty Kitchen
RET5d405dd5,SRC00000001,Notino.co.uk
RETa19252d9,SRC00000001,Sheffield Skincare Company
RETff44b670,SRC00000001,Dalia Botanique
RET310710e8,SRC00000001,skinsolace.co.uk
RETdd7b5e2b,SRC00000001,Acala
RETb27cc288,SRC00000001,Ethical Superstore
RET6adb005a,SRC00000001,Plantx UK
RETb76d61f2,SRC00000001,Wild Venus
RET49c5a5f6,SRC00000001,Organics.com
RET900d97ec,SRC00000001,NVS Pharmacy
RET30daad7b,SRC00000001,Replenhair
RETf5b28a6c,SRC00000001,Superdrug.com
RETe784f364,SRC00000001,Peace With The Wild
RET73f7c3d6,SRC00000001,LUSH
RET2aece9ad,SRC00000001,mOrganicsbeauty
RETf4bf3041,SRC00000001,Soul and Soap
RET7e6e9c9f,SRC00000001,The Dartmoor Skincare Company
RET96cc20ef,SRC00000001,D R Harris
RET7fb51180,SRC00000001,Simply Soaperior
RET7e04650c,SRC00000001,Cosma Parfumeries
RET85f9b619,SRC00000001,Old Guys Rule
RETdda22816,SRC00000001,Owl & Bee UK
RETbf709635,SRC00000001,thesoapshackuk.com
RET008fba75,SRC00000001,Tappermade
RETe876f4d6,SRC00000001,Battle Green
RETd8d204ab,SRC00000001,Washla
RET283501d6,SRC00000001,Ocado
RET6efa5192,SRC00000001,Ethique GB
RET048ccc30,SRC00000001,Okiki Skincare
RETec140568,SRC00000001,Little Soap Company
RET8cac7ec0,SRC00000001,The Garden Apothecary
RET75f3fd1e,SRC00000001,Ecoliving
RETee8a8941,SRC00000001,Uneeka
RET41b636f0,SRC00000001,National Galleries of Scotland
RET82b4ecc3,SRC00000001,La Fragancia
RET58e5d882,SRC00000001,Chateau Du Savon
RET39875508,SRC00000001,Health Plus Living
RET4078c1fb,SRC00000001,&Keep
RETe42edf78,SRC00000001,Akoma
RET88db6c73,SRC00000001,Horace
RET77aefeb0,SRC00000001,The Green Turtle
RET35dc2264,SRC00000001,Hairlust
RET366046d4,SRC00000001,Luxurious Look
RET29cd4600,SRC00000001,Faith in Nature
RET8932cb7d,SRC00000001,EpicerieCorner
RETeb608125,SRC00000001,QuickVit
RET5b2225bc,SRC00000001,eBay - cutpricepharmacy
RETb87b6a76,SRC00000001,Dook
RET4c22149e,SRC00000001,Debenhams
RET74c4a538,SRC00000001,Ecco-Verde.co.uk
RET38ef123e,SRC00000001,KIND2
RET5face667,SRC00000001,Sally Beauty
RETa6c50edc,SRC00000001,Cyrils Soap Shed
RET41629b11,SRC00000001,Grace & Favour Home
RETadf2d557,SRC00000001,John Bell & Croyden
RETd3a15998,SRC00000001,eBay - yongyindww
RETf3f5241b,SRC00000001,eBay - weststreetmarket
RETbdaf19a8,SRC00000001,Soin et Nature
RETaf7fa99a,SRC00000001,eBay - onebioshopcom
RET9d116568,SRC00000001,Bean and Bee
RET3f1d2c25,SRC00000001,eBay - skyclub_71
RET3fda77c2,SRC00000001,pure-keratin.com
RETecd74a89,SRC00000001,SareeGuru
RET99cb1f07,SRC00000001,eBay - cravecrave
RETee715bcb,SRC00000001,Green Laurels
RETf78d55e5,SRC00000001,fruugo.co.uk
