retailer_id,source_id,retailer_name
RET100de238,SRC00000001,Tesco
RETf5b28a6c,SRC00000001,Superdrug.com
RET10ac3d04,SRC00000001,Next
RET20c40eed,SRC00000001,The Earthling Co.
RET7e68a10f,SRC00000001,Waitrose & Partners
RETa0fa6f9c,SRC00000001,Amazon.co.uk - Amazon.co.uk-Seller
RET0f11defc,SRC00000001,Bare Bar
RETf4bf3041,SRC00000001,Soul and Soap
RETf74c1730,SRC00000001,Pak Cosmetic Centre
RET90893039,SRC00000001,LOOKFANTASTIC
RET8a26d6d0,SRC00000001,Little House Of Fragrance
RET3922bcfe,SRC00000001,Folk Soap
RETcfa76bb3,SRC00000001,Myssyfarmi
RET5d405dd5,SRC00000001,Notino.co.uk
RETd8d204ab,SRC00000001,Washla
RETc758df47,SRC00000001,Gladskin UK
RETa4c5b573,SRC00000001,Beauty Favours
RET27dbf5bb,SRC00000001,North Devon Soap
RET5e4f7d1e,SRC00000001,English Shaving Company
RETac4010f8,SRC00000001,Harvest Skincare
RETa3702f28,SRC00000001,Plastic Freedom
RET7fb51180,SRC00000001,Simply Soaperior
RET3474f61b,SRC00000001,Silktown Soap Co.
RET008fba75,SRC00000001,Tappermade
RET64439c34,SRC00000001,La Rose Noire
RET1dbb32c2,SRC00000001,Anything But Plastic
RET4c6e3d55,SRC00000001,Justmylook
RET99a09a4e,SRC00000001,Bree Probiotic Skincare
RETb76d61f2,SRC00000001,Wild Venus
RETd862b5d5,SRC00000001,Green People
RET3e957069,SRC00000001,50-ml.co.uk
RETe784f364,SRC00000001,Peace With The Wild
RET77aefeb0,SRC00000001,The Green Turtle
RETeb608125,SRC00000001,QuickVit
RETe42edf78,SRC00000001,Akoma
RETabfb55fd,SRC00000001,Wigoos
RETb87b6a76,SRC00000001,Dook
RET41629b11,SRC00000001,Grace & Favour Home
RET4c22149e,SRC00000001,Debenhams
RET1278eddc,SRC00000001,Urban Makers
RET11be1768,SRC00000001,Bloom & Brew
RET9edfdf8b,SRC00000001,New Dawn Organic Skin and Hair Care
RET1e756ff1,SRC00000001,LA Image
RET28253998,SRC00000001,eBay
RET4b356c26,SRC00000001,Finnish Design Shop
RET9959051e,SRC00000001,Salontotal.co.uk
RETdb270df8,SRC00000001,Valquer Laboratorios
RET0b51daf1,SRC00000001,Mix.co.uk
RET55cac87e,SRC00000001,The Beautiful
RET3fda77c2,SRC00000001,pure-keratin.com
RET9eb5139f,SRC00000001,We Have it Wrapped UP
RET0f42dae7,SRC00000001,Sage Folk
RET5f5079c2,SRC00000001,Kindly of Brighton
RET1a1cbe5c,SRC00000001,Boobalou
RETb592d442,SRC00000001,HealthPost.co.nz
RETc4b82a0d,SRC00000001,Nourished Life
RET74c4a538,SRC00000001,Ecco-Verde.co.uk
RETf3335b84,SRC00000001,KinKind
RETc21581e9,SRC00000001,Hope Naturals
RETd8e83c3b,SRC00000001,The Positive Company
RET1bef5f03,SRC00000001,eBay - yusnshushangmao
RET9679b4e6,SRC00000001,The Edinburgh Natural Skincare Company
RET68fa91aa,SRC00000001,eBay - gudz_uk
RETe54ee404,SRC00000001,eBay - sai-international
RETf78d55e5,SRC00000001,fruugo.co.uk
RET0ad38a55,SRC00000001,Amazon.co.uk
RET3d051f78,SRC00000001,"Weaver Vale Garden Centre, Winnington"
RETa2978cb7,SRC00000001,OnBuy.com
RET73f7c3d6,SRC00000001,LUSH
RETcc874665,SRC00000001,Tilda's Tribe
RETffe76774,SRC00000001,Bizparessions.com
RETd3a24ea8,SRC00000001,Scottish Antiques
RETdcfa9e13,SRC00000001,Boo Cottage Botanicals
RETbdaf19a8,SRC00000001,Soin et Nature
RETaf7fa99a,SRC00000001,eBay - onebioshopcom
RETe55aa808,SRC00000001,REGN
RETfae450f7,SRC00000001,Culture Vulture
RETa19252d9,SRC00000001,Sheffield Skincare Company
RET8a84b8a8,SRC00000001,GoSupps Beauty
RETfad72ccd,SRC00000001,Bay Soap
RET2a01342d,SRC00000001,The Wyre Soap Company
RETde2603b9,SRC00000001,The Wee Bits
RET8e170552,SRC00000001,Mountain Dreads
RETfdb330c1,SRC00000001,EthicalDeals UK
RETe9f3ff2a,SRC00000001,Lifestyle Health Store
RET8c9d77ff,SRC00000001,Guardian Angel Naturals
RET10113932,SRC00000001,The Glow Company
RETe876f4d6,SRC00000001,Battle Green
RETda72338f,SRC00000001,Wild Grove
RET1fe07e73,SRC00000001,Northwood Health foods
RETb250bdb3,SRC00000001,Local Boom Gift Shop
RETd333684a,SRC00000001,wideye.co.uk
RET00d1df6a,SRC00000001,Cerqular
RET959a5c38,SRC00000001,Yao Secret
RET9b63be40,SRC00000001,Approved Food
RET21d1cbbe,SRC00000001,Fox & Marsh - Eco Dorset
RET0a20c13d,SRC00000001,mypure.co.uk
RET510fb6e8,SRC00000001,BigGreenSmile.com
RET352b6a91,SRC00000001,New Zealand Nature - UK
RET2dc18368,SRC00000001,Dolphin Fitness
RETc08019dc,SRC00000001,Babi Pur
RET20e55e02,SRC00000001,Sage & Sill
RETb770276d,SRC00000001,Pure Anada Boutique - Morden
RETae67e2fb,SRC00000001,Boozyshop
RET3fe9e7c6,SRC00000001,Herbishh
RETa4ecb460,SRC00000001,Salon Trusted
RET98ba2f15,SRC00000001,Eco Bee
RETdd7b5e2b,SRC00000001,Acala
RETe7e7fee5,SRC00000001,Elsie Moss Botanical
RETe0d434b7,SRC00000001,The V Spot
RET3f9be74e,SRC00000001,Rainbow Life
RET685ffbb1,SRC00000001,The Hair Lounge
RETead98a40,SRC00000001,G Grace & Son
RET4c2f2a32,SRC00000001,The Good Lyfe
RET2956aa97,SRC00000001,London Loves Beauty
RET23cf4549,SRC00000001,Earthly
RET971a6408,SRC00000001,OneBioShop
RET27555afb,SRC00000001,Refill It
RETf0fc19d9,SRC00000001,Salt + Steam
RETe13fda08,SRC00000001,Silkrute
RET56a9d438,SRC00000001,Panier des Sens
RET42c6e464,SRC00000001,Wriggly Tin Soap Co.
RETdf60b0b2,SRC00000001,The Natural Spa Cosmetics
RETead97294,SRC00000001,Skinsli
RETe6e9aed0,SRC00000001,Elstree Soaps
RETae110a67,SRC00000001,Clearstone
RET42e2b1ed,SRC00000001,Buddha & Bubbles Soap Co
RET40889310,SRC00000001,Hippo Health
RET634a783c,SRC00000001,Snapklik.com
RETf965f523,SRC00000001,Bloom In Soap
RET87e5449e,SRC00000001,Riwaya
RET97a33f4c,SRC00000001,Not On The High Street
RET3c762c5f,SRC00000001,Bee Haven Bodycare & Gifts
RETa88d0954,SRC00000001,Havens Treasures
RET6a6c572a,SRC00000001,Ita's Natural Essentials
RETef8387bc,SRC00000001,eBay - pure_indulgence
RETc2d1eaf1,SRC00000001,Handmade Fever
RET96fa83ce,SRC00000001,Easydoor
RET5cbe2433,SRC00000001,BeautyTheShop
RET04a0e351,SRC00000001,Olive Young Global
RET8a794bdf,SRC00000001,Anniepooh
RET92813e6a,SRC00000001,John Lewis & Partners
RET6c06f88c,SRC00000001,Holland & Barrett
RETb60306d4,SRC00000001,The Ordinary
RET51be6f69,SRC00000001,Wilko
RET4ae36d62,SRC00000001,Lancôme Official Website
RETdba4fbfd,SRC00000001,Clinique
RETd650c1a0,SRC00000001,BPerfect Cosmetics
RETd0241f94,SRC00000001,Boots.com
RET622a7fe4,SRC00000001,Nip + Fab
RETa8389e6d,SRC00000001,Space NK
RETf6eba935,SRC00000001,Caudalie UK
RETdfedb711,SRC00000001,HighBorn London
RET233a534c,SRC00000001,Skinstation
RETa458f9d2,SRC00000001,Beauty Outlet
RETf52da4a0,SRC00000001,Trinny London UK
RET6ac55fa5,SRC00000001,Cult Beauty
RETf63c2794,SRC00000001,allbeauty.com
RETe5c68e40,SRC00000001,Nature Spell
RET470b4156,SRC00000001,Tropic Skincare
RET34dfa7d6,SRC00000001,Kiehl's Official Website
RET0a66f3e5,SRC00000001,bio-naturel.de
RETc180c2dc,SRC00000001,Wolf & Badger
RET5face667,SRC00000001,Sally Beauty
RET86bd3fac,SRC00000001,Herveda
RET3b2409a6,SRC00000001,Loveandpamper
RET27f30432,SRC00000001,Beauty Secrets
RET681fa1da,SRC00000001,eBay - gharisi
RET19a51e60,SRC00000001,Perfumes Club UK
RETc9b27dbd,SRC00000001,Landys Chemist
RETb6ab53fe,SRC00000001,eBay - health-beauty-fitnessworld
RET60b186d6,SRC00000001,eBay - iherb
RET590da5a4,SRC00000001,Kaloneu
RET06b370ec,SRC00000001,Glow Organic
RET70220119,SRC00000001,eBay - classycosmetix
RETf7ed99a3,SRC00000001,eBay - royallamps
RET9093c056,SRC00000001,Luxplus.co.uk
RET5302987c,SRC00000001,herbalshire
RET4408379a,SRC00000001,eBay - jerryjerry3322
RETfa00a1e7,SRC00000001,The Parapharmacy
RET30652dc4,SRC00000001,Healthana.co
RETcc779a06,SRC00000001,eSkinStore
RETfd262323,SRC00000001,Fawaah.com
RETef836666,SRC00000001,parafarmacia-online.com
RET50682b54,SRC00000001,eBay - mamet5837
RETe54a4f1c,SRC00000001,Sabina
RETe5834183,SRC00000001,nobody's nobody
RETd70c004a,SRC00000001,sasa.com
RET664420a3,SRC00000001,Cocooncenter.co.uk
RET7cd12f4c,SRC00000001,Universkin
RETe3cdec2b,SRC00000001,Herbkart.com
RET6286aee5,SRC00000001,V Welt
RET72a861fe,SRC00000001,brilanteshop.co.uk
RET049496c4,SRC00000001,eBay - hamdstore66
RET2248be60,SRC00000001,Natural Elements
RETa3e74527,SRC00000001,Distacart
RETf67266cd,SRC00000001,eBay - solbeauty
RET019b0ddc,SRC00000001,Beautycos.co.uk
RETdb2d3e5a,SRC00000001,eBay - medpak_shop
RET847bb700,SRC00000001,Blanda Beauty
RET4432170f,SRC00000001,Nose
RETf4438ede,SRC00000001,eBay - top_2nd_hand
RET4dfc62b0,SRC00000001,M&S
RET99ce75a7,SRC00000001,TK Maxx
RET164fede5,SRC00000001,Mallows Beauty
RET2963a3cb,SRC00000001,Skyn Bakery
RET8ef09f9b,SRC00000001,Aromatherapy Associates
RET05ea0228,SRC00000001,Dee's Shed
RET96a5e37d,SRC00000001,Neal's Yard Remedies
RET5536daae,SRC00000001,Desami
RET6c50ca8d,SRC00000001,Naturally Balmy
RETd9e22282,SRC00000001,Cuccio Beauty
RETe1e605e4,SRC00000001,I Love Cosmetics
RETe99450e0,SRC00000001,Dibia
RET4aec4f6b,SRC00000001,eBay - mcrama26
RETb1231d5b,SRC00000001,eBay - bargainberserk
RETb95ee930,SRC00000001,Onesociety Men's Grooming Products
RET0d325d74,SRC00000001,The Norfolk Herbalist
RET4baa9413,SRC00000001,Apothekelly skincare
RETfff62c61,SRC00000001,Cleo Health & Beauty
RET3590e54c,SRC00000001,French Soaps UK
RET10b284e3,SRC00000001,OSHI Organics
RET8d7b8737,SRC00000001,FabFinds
RET907c3343,SRC00000001,CM Hair and Beauty Supplies
RET49c5a5f6,SRC00000001,Organics.com
RETe42b60fd,SRC00000001,Apex Cargo
RET178fbe9f,SRC00000001,eBay - mirra.n.me
RET9e2a8441,SRC00000001,Cad-eau Online
RET145c0510,SRC00000001,eclair-beauty.co.uk
RET940960e9,SRC00000001,eBay - pleasingscents
RET6c716fb7,SRC00000001,Violey
RET7830c932,SRC00000001,Youth Tree Organics
RET432e676d,SRC00000001,eBay - runwaybeautystore
RET53fe891a,SRC00000001,israel catalog
RET0ed456b0,SRC00000001,eBay - mini_natalie
RETaee6c0db,SRC00000001,Proshave.com
RET3057563a,SRC00000001,eBay - outletbedstory
RETcdc83ce2,SRC00000001,eBay - ohbobcats97
RETe9e47b9a,SRC00000001,The india Shop
RET97b5e15e,SRC00000001,eBay - sparklesandshimmers
RET0078bcb8,SRC00000001,Saabuni
RETfbe1878c,SRC00000001,eBay - nikkimason25
RETa0325b20,SRC00000001,eBay - neverb_57
RET238ebad0,SRC00000001,eu.thisworks.com
RET58c412fe,SRC00000001,Angel Dust
RET37d9af90,SRC00000001,PowerBody.co.uk
RETbc030a86,SRC00000001,Frederic Malle
RET4b4d82e4,SRC00000001,Moroccanoil
RET0e0dbc54,SRC00000001,Adjoaa
RETcec395ca,SRC00000001,eBay - hot1ce
RET643b2920,SRC00000001,eBay - world_kurachan
RETc855ac25,SRC00000001,eBay - balifesta
RETca77f7df,SRC00000001,eBay - 2011pavelelloco
RET4ae49930,SRC00000001,Bloom Cosmetics
RETfcdc4d88,SRC00000001,TheSoapery
RETb350af86,SRC00000001,MyOrigines
RET93934372,SRC00000001,Bazaar Barnstaple
RET3ba3596e,SRC00000001,eBay - past_presents_hub
