product_id,product_name,brand_name,category_name,size_value,size_unit,price,currency,retailer_name,product_clean,brand_clean,category_clean,reason_unmatched
PRD2805c6ec,Origins Plantscription Multi-Powered Youth Serum,Origins Plantscription,Face Serum,,,51.75,GBP,john lewis & partners,origins plantscription multi powered youth serum,origins plantscription,face serum,No match >= threshold
PRDe4505e3f,L'Oreal Paris Age Perfect Defying Serum Le Duo,L'Oreal Paris,Face Serum,,,18.99,GBP,boots.com,l oreal paris age perfect defying serum le duo,l oreal paris,face serum,No match >= threshold
PRDf204f305,Clinique Moisture Surge Active Glow Serum,Clinique Moisture,Face Serum,,,66.0,GBP,clinique,clinique moisture surge active glow serum,clinique moisture,face serum,No match >= threshold
PRDcc444ee2,Neutrogena Retinol Boost+ Intense Night Serum,Neutrogena Retinol,Face Serum,,,13.89,GBP,amazon.co.uk,neutrogena retinol boost intense night serum,neutrogena retinol,face serum,No match >= threshold
PRD572b7f12,NIVEA Cellular Luminous 630 Anti Dark Spot Face Serum,NIVEA Cellular,Face Serum,,,15.99,GBP,boots.com,nivea cellular luminous 630 anti dark spot face serum,nivea cellular,face serum,No match >= threshold
PRDf525261a,Q+A Peptide Facial Serum,Q+A Peptide,Face Serum,,,9.0,GBP,bperfect cosmetics,q a peptide facial serum,q a peptide,face serum,No match >= threshold
PRD20b225cf,Kiehl's Retinol Skin-Renewing Daily Micro-Dose Serum,Kiehl's Retinol,Face Serum,,,50.0,GBP,kiehl's official website,kiehl s retinol skin renewing daily micro dose serum,kiehl s retinol,face serum,No match >= threshold
PRDb4f21699,Anua Niacinamide Dark Spot Correcting Serum,Anua Niacinamide,Face Serum,,,19.8,GBP,boots.com,anua niacinamide dark spot correcting serum,anua niacinamide,face serum,No match >= threshold
PRDf80294f8,Evolve Beauty Hyaluronic Serum 200,Evolve Beauty,Face Serum,,,23.25,GBP,john lewis & partners,evolve beauty hyaluronic serum 200,evolve beauty,face serum,No match >= threshold
PRDff0751f9,Olay Retinol24 Max Night Serum,Olay Retinol24,Face Serum,,,18.99,GBP,amazon.co.uk - amazon.co.uk-seller,olay retinol24 max night serum,olay retinol24,face serum,No match >= threshold
PRD6141f325,Boots Ingredients Hyaluronic Acid Serum,Boots Ingredients,Face Serum,,,5.5,GBP,boots.com,boots ingredients hyaluronic acid serum,boots ingredients,face serum,No match >= threshold
PRD329858b7,Dr Althea Vitamin C Boosting Serum,Dr Althea,Face Serum,,,11.66,GBP,justmylook,dr althea vitamin c boosting serum,dr althea,face serum,No match >= threshold
PRD69fe9110,Laneige Bouncy & Firm Serum,Laneige Bouncy,Face Serum,,,31.2,GBP,john lewis & partners,laneige bouncy firm serum,laneige bouncy,face serum,No match >= threshold
PRD036c140f,Nip + Fab Hyaluronic Fix 2% Extreme4,Nip,Face Serum,,,18.58,GBP,amazon.co.uk,nip fab hyaluronic fix 2 extreme4,nip,face serum,No match >= threshold
PRDfce740e3,CeraVe Hydrating Hyaluronic Acid Serum,CeraVe Hydrating,Face Serum,,,16.1,GBP,boots.com,cerave hydrating hyaluronic acid serum,cerave hydrating,face serum,No match >= threshold
PRDd7b369b6,The INKEY List Niacinamide Serum,The INKEY,Face Serum,30.0,ml,5.25,GBP,the inkey list,the inkey list niacinamide serum,the inkey,face serum,No match >= threshold
PRDb1aa604c,The INKEY List Retinol Serum,The INKEY,Face Serum,,,7.35,GBP,the inkey list,the inkey list retinol serum,the inkey,face serum,No match >= threshold
PRDd11745ae,Neutrogena Hydro Boost Concentrated Serum,Neutrogena Hydro,Face Serum,,,9.39,GBP,amazon.co.uk - amazon.co.uk-seller,neutrogena hydro boost concentrated serum,neutrogena hydro,face serum,No match >= threshold
PRD9119da25,Neutrogena Hydro Boost Niacinamide Serum,Neutrogena Hydro,Face Serum,,,12.76,GBP,pharmeden,neutrogena hydro boost niacinamide serum,neutrogena hydro,face serum,No match >= threshold
PRD72ec1ea2,Aveeno Face Calm Restore Triple Oat Serum,Aveeno Face,Face Serum,,,10.49,GBP,boots.com,aveeno face calm restore triple oat serum,aveeno face,face serum,No match >= threshold
PRD3d881715,Liz Earle Restore & Glow Instant Radiance Serum,Liz Earle,Face Serum,,,24.0,GBP,john lewis & partners,liz earle restore glow instant radiance serum,liz earle,face serum,No match >= threshold
