brand_id,brand_name
BRD0f80f0d0,weDo
BRD084ed629,Biovene
BRDd5794134,Goats Milk
BRD4db76a4f,Freesia Solid
BRD90005e4e,Amphora Aromatics
BRD5314c2e9,Bay Rum
BRD6ea6ec2f,Bomb Cosmetics
BRD092f2ba9,Ben
BRD81c6e4e0,"Acala Camellia,"
BRD7ba03416,Solid Lavender
BRD8b12492c,"Green Tea,"
BRD90505ebd,Patchouli Shampoo
BRDba7edd19,Dry Hair
BRD7e710975,Annings Bergamot
BRDf8e5c16f,Rituals The
BRDe9e45848,KinKind Clear
BRD268ae7b2,Procoal Vegan
BRD43831a47,Vegan Shampoo
BRDc1ddbd9a,FOAmie Coconut
BRD8ad6b83a,FFS Beauty
BRD3db3379e,EcoLiving Ocean
BRD5d6a6f7b,Alter/Native Lavender
BRDeb001819,HandMade Solid
BRD78f095b5,Paper Plane
BRD51a31ea8,Eco Wave
BRD699ac0d6,Foamie Hibiskiss
BRD715cc145,Alter/Native Rose
BRD72cc63e6,Areton Honey
BRDff71ff25,Lemon
BRD008ce5d1,Chunky Shampoo
BRDfec92d7f,Eco Living
BRD0f11defc,Bare Bar
BRD99a808d8,Balance
BRD65d52af4,Fresh Cut
BRD700f7191,Molten Lather
BRDe7965c31,BALANCES Oil
BRD11081b0c,Castle
BRDf101ac0c,Ethique Professor
BRD1c7383c5,Perfectly Balanced
BRDcf75a4df,Natural Dandruff-Prone
BRD1529d26e,Balancing Shampoo
BRD0557fa92,Back
BRD7dcfe31d,Ecoliving Coconutty
BRD780a2fb7,LemonGrass Solid
BRD68739920,"Chamomile, Lemon"
BRD8d95cbf9,Hair Fuel
BRD163bc923,ATTITUDE Leaves
BRD904f28f8,Rehab Shampoo
BRDd05eee4d,Ethique Rice
BRD71e85483,Salty Beach
BRD38d395ea,Not Guilty
BRD28cb8b85,Hår Revitalising
BRDb35a8b3d,Olive Oil
BRDa031bb9b,Beard Botanics
BRD112d189a,SOAPS4ME Handmade
BRD360e03c6,Nourishing Rice
BRD7f177552,Balade En
BRDd862b5d5,Green People
BRD105a5310,Scottish Botanicals
BRD7266fc25,ANIHANA Shampoo
BRDf091c2a0,EarthKind Tea
BRD932cd484,Nature Seven
BRD23405cc8,"Shampoo Bar,"
BRD3946df22,Chamomile Enriching
BRD6acdc521,KinKind Rice
BRD0a783dd3,Nettle Parsley
BRD2b787fe0,Almara Soap
BRDd3418ce0,Ethique Beauty
BRD2ccf7cac,Areton Solid
BRD2df97284,Klar Tea
BRDf3c2b1b0,Ethique St
BRD505cd2a0,Panier
BRD82081e37,FOAmie Argan
BRD6b7881fd,Ethique Frizz
BRD72c97d35,Dabur Naturals
BRD3530530e,Rosemary Hair
BRD77b365a4,Eleven Australia
BRDa5054cb7,Rescue My
BRDe3dfb25f,Alter/native Shampoo
BRD918daac8,Manuka Honey
BRD904b20fe,Chey Haircare
BRDbf04766c,SHAMPOO BAR
BRDe16b4309,Unbrand Onion
BRD8726bb16,Unbrand Curly
BRD0b608ad3,LUSH New
BRD543eb0f0,Herbishh Castor
BRDe2574c81,Traditional Shampoo
