retailer_id,source_id,retailer_name
RETaae349cc,SRC00000001,"{'url': 'https://www.amazon.co.uk/Shampoo-Triangle-Strengthens-Haircare-Products/dp/B0FPQZS5GX?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A23ETMKW06VYSF', 'name': 'Amazon.co.uk - Amazon.co.uk-Seller'}"
RET5b96c528,SRC00000001,"{'url': 'https://friendlysoap.co.uk/products/shampoo-bar-lavender-geranium?variant=41503312478385&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopO1zSl9dyJTuQ1cPF0yIhFK8KLNSUQClw8HfjZeSt56AAtKIwY5rU', 'name': 'Friendly Soap'}"
RETf862cea2,SRC00000001,"{'url': 'https://www.lookfantastic.com/p/kitsch-nourishing-shampoo-bar/13032965/?affil=thggps&switchcurrency=GBP&shippingcountry=GB&srsltid=AfmBOopxUKC0AEtpNvtF74Mum8Hex3IG2TC7ziwtZka_Ahof2DughSKfIvo', 'name': 'LOOKFANTASTIC'}"
RET7f38d25e,SRC00000001,"{'url': 'https://www.amazon.co.uk/Wild-Mini-Solid-Shampoo-Bar/dp/B0D37Z23NY?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A3PT6FGLWBCY3V', 'name': 'Amazon.co.uk - Amazon.co.uk-Seller'}"
RET3d423ce4,SRC00000001,"{'url': 'https://www.tesco.com/groceries/en-GB/products/309198586', 'name': 'Tesco'}"
RETbc4ebf14,SRC00000001,"{'url': 'https://ethique.co.uk/products/sweet-and-spicy-mini?srsltid=AfmBOopHvsWmUUoUj53oW4pY0ECL09Ifxl5PklN84QKjqO4RhBID2edz3RM', 'name': 'Ethique GB'}"
RET0ca4831d,SRC00000001,"{'url': 'https://www.amazon.co.uk/Nature-Triangle-Shampoo-%F0%9D%90%92hampoo-Glutinous/dp/B0FP8MQ7T3?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A2K846TCAIO4LI', 'name': 'Amazon.co.uk - Amazon.co.uk-Seller'}"
RETb903c014,SRC00000001,"{'url': 'https://www.knowtheorigin.com/products/shampoo-bar?variant=42438453231768&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooy4H_XYQJxcWfWvM6_JaQPXunU6_NOa3h0zc3XXwz9gNrkhYVhiW8', 'name': 'Know The Origin'}"
RET3d5b3b99,SRC00000001,"{'url': 'https://www.justmylook.com/products/faith-in-nature-coconut-shea-butter-shampoo-bar-85g?utm_source=google&utm_medium=cpc&utm_campaign=All%20Products%20-%20UK&utm_content=Faith%20In%20Nature%20Coconut%20%26%20Shea%20Butter%20Shampoo%20Bar%2085g&srsltid=AfmBOorEc98fpWlzyOBAlpB_hwbd93OZxpvc53o5ZfmaIqGLu8ZyKKZFw88', 'name': 'Justmylook'}"
RET276178e1,SRC00000001,"{'url': 'https://www.amazon.co.uk/Ginger-Solid-Shampoo-Bar-Nourishment/dp/B0B3RB6282?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A3RXJ1P37AJHF7', 'name': 'Amazon.co.uk - Amazon.co.uk-Seller'}"
