product_id,product_name,brand_id,brand_name,category_id,category_name,size_value,size_unit,price,currency,date_collected,date_key,retailer_name,product_clean,brand_clean,category_clean,retailer_clean,size_value_norm,size_unit_norm,incomplete_record,reason_unmatched
PRD38de8139,The Spa Natural Body Butter Ylang Ylang and Bergamot Scented 200g,BRD2f5cc1f9,The Spa Natural,CAT140eaa99,body butter,200.0,g,11.99,GBP,20251125_201710,20251125,"{'url': 'https://www.freedomcosmetics.co.uk/products/the-spa-natural-body-butter?variant=37528170430645&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoq-9CaGKxUFXtrnaJebACSWTcaHevPIJriH2rSYNYHbS9zk-idTyuY', 'name': 'Freedom Cosmetics'}",the spa natural body butter ylang ylang and bergamot scented 200g,the spa natural,body butter, url https www freedomcosmetics co uk products the spa natural body butter variant 37528170430645 country gb currency gbp utm medium product sync utm source google utm content sag organic utm campaign sag organic srsltid afmbooq 9cagkxufxtrnajebacswtcahevpijrih2rsynyhbs9zk idtyuy name freedom cosmetics ,200.0,g,False,No match >= 65 (enhanced)
PRD3d705187,"6Pcs Shampoo Bars for Hair (8.46oz), Natural Ingredients Solid Shampoo Soap, Rainbow Scent",BRD08fdb993,Shampoo Bars,CATa842003f,shampoo bar,8.46,oz,9.99,GBP,20251125_201021,20251125,"{'url': 'https://www.amazon.co.uk/Shampoo-8-46oz-Natural-Ingredients-Rainbow/dp/B0D3L32D4P?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A3CPPGCXDMFQJ6', 'name': 'Amazon.co.uk - Amazon.co.uk-Seller'}",6pcs shampoo bars for hair 8 46oz natural ingredients solid shampoo soap rainbow scent,shampoo bars,shampoo bar, url https www amazon co uk shampoo 8 46oz natural ingredients rainbow dp b0d3l32d4p source ps sl shoppingads lpcontext ref fplfs psc 1 smid a3cppgcxdmfqj6 name amazon co uk amazon co uk seller ,8.46,oz,False,No match >= 65 (enhanced)
PRD3f4c4aa6,Ahava Dead Sea Osmoter Concentrate Even Tone Serum 30ml,BRD77046f3e,Ahava Dead Sea,CATaa8afa4d,face serum,30.0,ml,28.5,GBP,20251125_201504,20251125,"{'url': 'https://www.cosmetify.com/ahava-dead-sea-osmoter-concentrate-even-tone-serum/?vf=4939860&srsltid=AfmBOoqCiWgzOCeYgunPjbzekcEHQpFMzx53JAPDe2de-QDqKfLDGhH6qDI', 'name': 'Cosmetify'}",ahava dead sea osmoter concentrate even tone serum 30ml,ahava dead sea,face serum, url https www cosmetify com ahava dead sea osmoter concentrate even tone serum vf 4939860 srsltid afmbooqciwgzoceygunpjbzekcehqpfmzx53japde2de qdqkfldghh6qdi name cosmetify ,30.0,ml,False,No match >= 65 (enhanced)
PRD431b519b,Hair Conditioner Bar- 95g - Patchouli & Sandalwood - SUMA,BRD32e9a6b6,Hair Conditioner Bar-,CATa55d3f5b,conditioner bar,95.0,g,5.75,GBP,20251125_201303,20251125,"{'url': 'https://www.theevolution.shop/hair-conditioner-bar-patchouli-sandalwood-suma', 'name': 'The Evolution'}",hair conditioner bar 95g patchouli sandalwood suma,hair conditioner bar ,conditioner bar, url https www theevolution shop hair conditioner bar patchouli sandalwood suma name the evolution ,95.0,g,False,No match >= 65 (enhanced)
PRD440a571a,Herbalicious Conditioner Bar 25g,BRD9a43dfeb,Herbalicious Conditioner Bar,CATa55d3f5b,conditioner bar,25.0,g,3.5,GBP,20251125_201251,20251125,"{'url': 'https://sheffieldskincare.co.uk/products/herbalicious-conditioner-bar?variant=40183470882850&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqKyyboPCOwSiyyErW3GxuiwzIKzjvSFbzF-UdRnr38Aa0LVLLSnmk', 'name': 'Sheffield Skincare Company'}",herbalicious conditioner bar 25g,herbalicious conditioner bar,conditioner bar, url https sheffieldskincare co uk products herbalicious conditioner bar variant 40183470882850 country gb currency gbp utm medium product sync utm source google utm content sag organic utm campaign sag organic srsltid afmbooqkyybopcowsiyyerw3gxuiwzikzjvsfbzf udrnr38aa0lvllsnmk name sheffield skincare company ,25.0,g,False,No match >= 65 (enhanced)
PRD4a1ba8a9,"French Shampoo Bar, Donkey Milk and Keratin, All Hair, 110g 1",BRD152ce82a,"French Shampoo Bar,",CATa842003f,shampoo bar,110.0,g,8.95,GBP,20251125_201033,20251125,{'name': 'Edenwood'},french shampoo bar donkey milk and keratin all hair 110g 1,french shampoo bar ,shampoo bar, name edenwood ,110.0,g,False,No match >= 65 (enhanced)
PRD4dc092ab,120g Cypress Leaf&usman Grass Shampoo Bar Strenghten Oiliness Scalp,BRDc5e1f5ab,Cypress Leaf&usman,CATa842003f,shampoo bar,120.0,g,11.63,GBP,20251125_201033,20251125,{'name': 'eBay - chasidya'},120g cypress leaf usman grass shampoo bar strenghten oiliness scalp,cypress leaf usman,shampoo bar, name ebay chasidya ,120.0,g,False,No match >= 65 (enhanced)
PRD4e2ae0da,Superdrug Skin Hydrate Serum 50ml,BRD0be477d7,Superdrug Skin Hydrate,CATaa8afa4d,face serum,50.0,ml,4.0,GBP,20251125_201437,20251125,"{'url': 'https://www.superdrug.com/skin/face-skin-care/face-serums/superdrug-skin-hydrate-serum-50ml/p/854488', 'name': 'Superdrug.com'}",superdrug skin hydrate serum 50ml,superdrug skin hydrate,face serum, url https www superdrug com skin face skin care face serums superdrug skin hydrate serum 50ml p 854488 name superdrug com ,50.0,ml,False,No match >= 65 (enhanced)
PRD4eb517a3,Natural Conditioner Bar - Dry Hair 105g - Bain & Savon,BRDa0a2fead,Natural Conditioner Bar,CATa55d3f5b,conditioner bar,105.0,g,9.0,GBP,20251125_201221,20251125,"{'url': 'https://www.peacewiththewild.co.uk/product/bain-savon-dry-hair-conditioner-bar-105g/', 'name': 'Peace With The Wild'}",natural conditioner bar dry hair 105g bain savon,natural conditioner bar,conditioner bar, url https www peacewiththewild co uk product bain savon dry hair conditioner bar 105g name peace with the wild ,105.0,g,False,No match >= 65 (enhanced)
PRD505bd116,Palmer's Cocoa Butter Formula 100g,BRD28166e46,Palmer's Cocoa Butter,CAT140eaa99,body butter,100.0,g,4.29,GBP,20251125_201655,20251125,{'name': 'Superdrug.com'},palmer s cocoa butter formula 100g,palmer s cocoa butter,body butter, name superdrug com ,100.0,g,False,No match >= 65 (enhanced)
