pos,url,type,price,title,token,rating,currency,merchant,price_str,thumbnail,product_id,pos_overall,reviews_count,search_query,page_number,timestamp,delivery,logical_key,dedup_reason
38,https://www.google.com/shopping/product/806439345336008973?q=shampoo+bar&hl=en&udm=28&sei=tpcdacxjhbvci-gp-d6xyao&gl=gb,grid,8.55,Eco Living Shampoo Bar,eyJjYXRhbG9naWQiOiAiODA2NDM5MzQ1MzM2MDA4OTczIiwgImdwY2lkIjogIjE1MDg2MTQ2Mjg1MTI0ODY5MzI1IiwgImltYWdlRG9jaWQiOiAiNTc2MjczNjcxMzk2MDkxMTM5MSIsICJtaWQiOiAiNTc2NDYyNzgxOTIyMjk0ODQ5IiwgInB2byI6ICIzIiwgInB2dCI6ICJoZyIsICJyZHMiOiAiUENfMTUwODYxNDYyODUxMjQ4NjkzMjV8UFJPRF9QQ18xNTA4NjE0NjI4NTEyNDg2OTMyNSIsICJwcm9kdWN0aWQiOiAiIiwgInF1ZXJ5IjogInNoYW1wb28gYmFyIn0=,5.0,GBP,"{'url': 'https://www.babipur.co.uk/products/ecoliving-soap-free-solid-shampoo-bar-patchouli-dark-cocoa?variant=48511309316421&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOor7jB8pxnrb8A6oAk_S6AdctNmDqrpDPfFWcEES6UC6XGepcmpGgB0', 'name': 'Babi Pur'}",£8.55,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQeHyyXKSjKmMyPyvu-u1T96iy5icTqyoLJP3TEXPAd3DqtWZSMLNJibM7mpqwxJzWFCj5SzLEiVNjf6MQ6yvs-20GMZZO5qHZyObxzI9iSdd0UHthLTapF,806439345336008973,38,18.0,shampoo bar,1,20251119_165904,Free delivery on £50+,,new_entry
45,https://www.google.com/shopping/product/9866198941502009503?q=shampoo+bar&hl=en&udm=28&sei=tpcdacxjhbvci-gp-d6xyao&gl=gb,grid,6.95,Folk Soap Shampoo Bar,eyJjYXRhbG9naWQiOiAiOTg2NjE5ODk0MTUwMjAwOTUwMyIsICJncGNpZCI6ICI4NTQwMTU3OTc1Mjc4Mjg0NTE1IiwgImltYWdlRG9jaWQiOiAiNjYxNjM0OTEwMTA0NjM1MSIsICJtaWQiOiAiNTc2NDYyNjk0MzUzNDkzNzY3IiwgInB2byI6ICIzIiwgInB2dCI6ICJoZyIsICJyZHMiOiAiUENfODU0MDE1Nzk3NTI3ODI4NDUxNXxQUk9EX1BDXzg1NDAxNTc5NzUyNzgyODQ1MTUiLCAicHJvZHVjdGlkIjogIiIsICJxdWVyeSI6ICJzaGFtcG9vIGJhciJ9,4.9,GBP,"{'url': 'https://www.folksoap.co.uk/shop/coconut-milk-and-aloe-vera-shampoo-bar-natural-solid-dry-scalp-care/?utm_source=Google%20Shopping&utm_campaign=Google%20product%20feed%20new&utm_medium=cpc&utm_term=adtribes&srsltid=AfmBOooYkKAwEQxoWv_0qj7sritTJ8-UJThH7jkxYbZFmQLJEhveN6LFwzY', 'name': 'Folk Soap'}",£6.95,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT5RRbLlztKhbwnyTsblsjW-gJRTjSFRRNlsV1IdsKEicu__MClrTAVGwgjiM1C0WpSUT3ZBdBVvgUF1dj8x6-shNDa-XNDp3hl6XM8mzGKZOM44r_plrXarg,9866198941502009503,45,8.0,shampoo bar,1,20251119_165904,Free delivery on £50+,,new_entry
