product_id,product_name,brand_id,category_id,size_value,size_unit,price,currency,retailer_name,product_clean,brand_clean,category_clean,reason_unmatched
PRD27fa7692,Kitsch Castor Oil Nourishing Shampoo Bar,BRD84858b44,CAT4f1e3d60,,,12.99,GBP,amazon.co.uk - amazon.co.uk-seller,kitsch castor oil nourishing shampoo bar,brd84858b44,cat4f1e3d60,No match >= threshold
PRDbb3e9efd,grüum hår Nourishing Coconut Shampoo Bar,,CAT4f1e3d60,50.0,g,9.0,GBP,grüum,gr um h r nourishing coconut shampoo bar,none,cat4f1e3d60,No match >= threshold
PRD5ccc60fe,New Dawn UK Patchouli Shampoo Bar,BRD0034d4a8,CAT4f1e3d60,,,6.45,GBP,new dawn organic skin and hair care,new dawn uk patchouli shampoo bar,brd0034d4a8,cat4f1e3d60,No match >= threshold
PRDbec37e07,Natural Vegan Shampoo Bar,BRD397dcdf1,CAT4f1e3d60,,,7.15,GBP,etsy - battlegreenbox,natural vegan shampoo bar,brd397dcdf1,cat4f1e3d60,No match >= threshold
PRDbec37e07,Natural Vegan Shampoo Bar,BRD397dcdf1,CAT4f1e3d60,,,7.15,GBP,etsy - battlegreenbox,natural vegan shampoo bar,brd397dcdf1,cat4f1e3d60,No match >= threshold
PRD4a284ae1,Bay Rum Shampoo Bar,BRD5314c2e9,CAT4f1e3d60,,,8.5,GBP,bare bar,bay rum shampoo bar,brd5314c2e9,cat4f1e3d60,No match >= threshold
PRD971ea558,OGX Coconut Milk Shampoo Bar,BRD3fc86590,CAT4f1e3d60,,,7.49,GBP,amazon.co.uk,ogx coconut milk shampoo bar,brd3fc86590,cat4f1e3d60,No match >= threshold
PRD0b303547,Kelpie Shampoo Bar for Curly Hair,BRDe597591c,CAT4f1e3d60,,,8.5,GBP,tappermade,kelpie shampoo bar for curly hair,brde597591c,cat4f1e3d60,No match >= threshold
PRD23d84688,Rosemary and Biotin Shampoo Bar,BRD4a60d61e,CAT4f1e3d60,,,14.0,GBP,psychic sisters,rosemary and biotin shampoo bar,brd4a60d61e,cat4f1e3d60,No match >= threshold
PRD5cbb3d08,Handmade Solid Shampoo Bar,BRD4e7e12ed,CAT4f1e3d60,,,4.49,GBP,amazon.co.uk - amazon.co.uk-seller,handmade solid shampoo bar,brd4e7e12ed,cat4f1e3d60,No match >= threshold
