product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,name_similarity,brand_similarity,size_similarity
PRD30a3b49a,PRDd4a6232d,Soap & Glory MAGNIFI-COCO Body Butter,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,,,,,7.49,7.49,GBP,GBP,Boots.com,Boots.com,86.3,66.32,100.0,50.0
PRD30a3b49a,PRDd4a6232d,Soap & Glory MAGNIFI-COCO Body Butter,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,,,,,7.49,49.85,GBP,GBP,Boots.com,eBay - jadashats-us,86.3,66.32,100.0,50.0
PRD30a3b49a,PRDe4842ed8,Soap & Glory MAGNIFI-COCO Body Butter,Soap & Glory Original The Righteous Butter Body Lotion,Soap,Soap,Body Butter,,,,,7.49,3.66,GBP,GBP,Boots.com,eBay,82.3,62.32,100.0,50.0
PRD30a3b49a,PRDeff54c48,Soap & Glory MAGNIFI-COCO Body Butter,Soap and Glory The Righteous Body Butter,Soap,Soap,Body Butter,,,,,7.49,9.99,GBP,GBP,Boots.com,Boots.com,84.1,64.09,100.0,50.0
PRD30a3b49a,PRDf4402683,Soap & Glory MAGNIFI-COCO Body Butter,Soap & Glory Body Butter The Righteous Butter,Soap,Soap,Body Butter,,,,,7.49,7.49,GBP,GBP,Boots.com,Boots.com,86.3,66.32,100.0,50.0
PRD3b9ce914,PRD4a89a3ef,Tree Hut Tropic Glow Firming Whipped Body Butter,Tree Hut Moroccan Rose Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,15.99,15.99,GBP,GBP,Holland & Barrett,Boots.com,88.0,68.0,100.0,50.0
PRD3b9ce914,PRD7afe8a16,Tree Hut Tropic Glow Firming Whipped Body Butter,Tree Hut Coco Colada Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,15.99,11.99,GBP,GBP,Holland & Barrett,Boots.com,89.4,69.41,100.0,50.0
PRD47ea1152,PRDa2063a8c,Soap & Glory Berry & Bright Body Butter,Soap & And Glory The Righteous Body Butter,Soap,Soap,Body Butter,200.0,ml,600.0,ml,6.0,20.39,GBP,GBP,Boots.com,eBay - zorilus7,74.2,64.18,100.0,0.0
PRD47ea1152,PRDa783e838,Soap & Glory Berry & Bright Body Butter,Soap & Glory Limited Edition Fresh As Fig Body Butter,Soap,Soap,Body Butter,200.0,ml,,,6.0,5.99,GBP,GBP,Boots.com,Boots.com,80.9,60.86,100.0,50.0
PRD47ea1152,PRDd4a6232d,Soap & Glory Berry & Bright Body Butter,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,200.0,ml,,,6.0,7.49,GBP,GBP,Boots.com,Boots.com,87.3,67.32,100.0,50.0
PRD47ea1152,PRDd4a6232d,Soap & Glory Berry & Bright Body Butter,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,200.0,ml,,,6.0,49.85,GBP,GBP,Boots.com,eBay - jadashats-us,87.3,67.32,100.0,50.0
PRD47ea1152,PRDe4842ed8,Soap & Glory Berry & Bright Body Butter,Soap & Glory Original The Righteous Butter Body Lotion,Soap,Soap,Body Butter,200.0,ml,,,6.0,3.66,GBP,GBP,Boots.com,eBay,82.3,62.32,100.0,50.0
PRD47ea1152,PRDeff54c48,Soap & Glory Berry & Bright Body Butter,Soap and Glory The Righteous Body Butter,Soap,Soap,Body Butter,200.0,ml,,,6.0,9.99,GBP,GBP,Boots.com,Boots.com,84.2,64.18,100.0,50.0
PRD47ea1152,PRDf4402683,Soap & Glory Berry & Bright Body Butter,Soap & Glory Body Butter The Righteous Butter,Soap,Soap,Body Butter,200.0,ml,,,6.0,7.49,GBP,GBP,Boots.com,Boots.com,87.3,67.32,100.0,50.0
PRD498ac8dd,PRD6379ecfc,Mallows Beauty AHA Peachy Body Butter,Mallows Beauty I'm A Mallows Girl Body Butter,Mallows Beauty,Mallows Beauty,Body Butter,,,,,11.95,14.95,GBP,GBP,Boots.com,Mallows Beauty,85.5,65.52,100.0,50.0
PRD498ac8dd,PRD9e755525,Mallows Beauty AHA Peachy Body Butter,Mallows Beauty Mango Sorbet Body Butter,Mallows Beauty,Mallows Beauty,Body Butter,,,,,11.95,14.95,GBP,GBP,Boots.com,Amazon.co.uk - Amazon.co.uk-Seller,74.5,69.52,100.0,50.0
PRD498ac8dd,PRDdd7f4e85,Mallows Beauty AHA Peachy Body Butter,Mallows Beauty Birthday Cake Body Butter,Mallows Beauty,Mallows Beauty,Body Butter,,,,,11.95,14.95,GBP,GBP,Boots.com,Amazon.co.uk - Amazon.co.uk-Seller,89.5,69.52,100.0,50.0
PRD4a7fd539,PRD9046cb21,Dr. Organic Manuka Honey Body Cream,Dr Organic Aloe Vera Body Butter,Dr. Organic,Dr Organic,Body Butter,,,,,11.99,11.99,GBP,GBP,Amazon.co.uk,Holland & Barrett,73.3,53.33,100.0,50.0
PRD4e398236,PRD59be1a2b,Dr Shea Shimmer Vanilla Shea Butter Body Butter,Dr. Shea Body Butter Confident Coconut Moisturizing Body Cream,Dr Shea,Dr. Shea,Body Butter,,,,,14.99,14.99,GBP,GBP,Share the Shea,Amazon.co.uk - Amazon.co.uk-Seller,88.2,58.22,100.0,50.0
PRD53e6dd0d,PRDad54c918,Lavender Body Butter,100% pure French Lavender Whipped Body Butter,Lavender Body,,Body Butter,,,,,29.0,26.6,GBP,GBP,Vedaoils UK,Ecco-Verde.co.uk,77.1,77.14,50.0,50.0
PRD6379ecfc,PRD9e755525,Mallows Beauty I'm A Mallows Girl Body Butter,Mallows Beauty Mango Sorbet Body Butter,Mallows Beauty,Mallows Beauty,Body Butter,,,,,14.95,14.95,GBP,GBP,Mallows Beauty,Amazon.co.uk - Amazon.co.uk-Seller,85.5,65.52,100.0,50.0
PRD6379ecfc,PRDdd7f4e85,Mallows Beauty I'm A Mallows Girl Body Butter,Mallows Beauty Birthday Cake Body Butter,Mallows Beauty,Mallows Beauty,Body Butter,,,,,14.95,14.95,GBP,GBP,Mallows Beauty,Amazon.co.uk - Amazon.co.uk-Seller,85.5,65.52,100.0,50.0
PRD699dc9c0,PRD859ff753,This Works Perfect Legs Body Butter,perfect legs body butter - bundle 2,This Works,,Body Butter,,,,,29.0,22.84,GBP,GBP,ThisWorks.com,eu.thisworks.com,70.5,70.53,50.0,50.0
PRD78142e75,PRD913efd69,Sanctuary Spa Signature Natural Oils Melting Pearl Body Butter,Sanctuary Spa Lily & Rose Body Butter,Sanctuary Spa,Sanctuary Spa,Body Butter,300.0,ml,,,16.0,13.0,GBP,GBP,Ocado,Boots.com,84.5,64.55,100.0,50.0
PRD78142e75,PRD9f935292,Sanctuary Spa Signature Natural Oils Melting Pearl Body Butter,Sanctuary Spa Golden Sandalwood Melting Body Butter,Sanctuary Spa,Sanctuary Spa,Body Butter,300.0,ml,,,16.0,15.99,GBP,GBP,Ocado,Superdrug.com,85.3,65.32,100.0,50.0
PRD8ce93f8d,PRDa700eca3,I Love Cosmetics Vanilla Milk Body Butter,I Love Cosmetics Body Butter Mango & Papaya,I Love,I Love,Body Butter,,,,,9.99,5.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,75.9,70.92,100.0,50.0
PRD8ce93f8d,PRDf2b13eb3,I Love Cosmetics Vanilla Milk Body Butter,I Love Coconut & Cream Body Butter,I Love,I Love,Body Butter,,,,,9.99,2.49,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Wilko,81.0,60.98,100.0,50.0
PRD8ce93f8d,PRDfd3ca522,I Love Cosmetics Vanilla Milk Body Butter,I Love Cosmetics Women's English Rose Body Butter,I Love,I Love,Body Butter,,,,,9.99,7.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,86.9,66.88,100.0,50.0
PRD913efd69,PRD9f935292,Sanctuary Spa Lily & Rose Body Butter,Sanctuary Spa Golden Sandalwood Melting Body Butter,Sanctuary Spa,Sanctuary Spa,Body Butter,,,,,13.0,15.99,GBP,GBP,Boots.com,Superdrug.com,87.8,67.78,100.0,50.0
PRD9e755525,PRDdd7f4e85,Mallows Beauty Mango Sorbet Body Butter,Mallows Beauty Birthday Cake Body Butter,Mallows Beauty,Mallows Beauty,Body Butter,,,,,14.95,14.95,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,88.0,68.0,100.0,50.0
PRD9f935292,PRDff85511b,Sanctuary Spa Golden Sandalwood Melting Body Butter,Sanctuary Spa Signature Collection Body Butter,Sanctuary Spa,Sanctuary Spa,Body Butter,,,,,15.99,3.5,GBP,GBP,Superdrug.com,Amazon.co.uk,82.3,62.31,100.0,50.0
PRDa19c3443,PRDa2063a8c,soap & glory Soap and Glory The Righteous Body Butter Lotion Bundled with Clean on Me,Soap & And Glory The Righteous Body Butter,,Soap,Body Butter,,,600.0,ml,20.99,20.39,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,eBay - zorilus7,81.5,81.54,50.0,50.0
PRDa19c3443,PRDd4a6232d,soap & glory Soap and Glory The Righteous Body Butter Lotion Bundled with Clean on Me,Soap & Glory The Righteous Butter Body Butter,,Soap,Body Butter,,,,,20.99,7.49,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Boots.com,78.5,78.46,50.0,50.0
PRDa19c3443,PRDd4a6232d,soap & glory Soap and Glory The Righteous Body Butter Lotion Bundled with Clean on Me,Soap & Glory The Righteous Butter Body Butter,,Soap,Body Butter,,,,,20.99,49.85,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,eBay - jadashats-us,78.5,78.46,50.0,50.0
