product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,name_similarity,brand_similarity,size_similarity
PRD67541c15,PRD0ac1e5bb,Tree Hut Watermelon Whipped Body Butter,Tree Hut Whipped Body Butter Vanilla,Tree Hut,Tree Hut,Body Butter,,,,,11.99,11.99,GBP,GBP,Boots.com,Boots.com,100.0,81.07,100.0,50.0
PRD67541c15,PRD7afe8a16,Tree Hut Watermelon Whipped Body Butter,Tree Hut Coco Colada Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,11.99,GBP,GBP,Boots.com,Boots.com,95.1,75.15,100.0,50.0
PRD67541c15,PRD8fe440bd,Tree Hut Watermelon Whipped Body Butter,Tree Hut Tropic Glow Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,11.99,GBP,GBP,Boots.com,Boots.com,95.1,75.15,100.0,50.0
PRD67541c15,PRD4a89a3ef,Tree Hut Watermelon Whipped Body Butter,Tree Hut Moroccan Rose Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,15.99,GBP,GBP,Boots.com,Boots.com,95.1,75.15,100.0,50.0
PRD67541c15,PRD3e158b60,Tree Hut Watermelon Whipped Body Butter,Tree Hut Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,15.99,GBP,GBP,Boots.com,Holland & Barrett,100.0,93.33,100.0,50.0
PRD67541c15,PRD3b9ce914,Tree Hut Watermelon Whipped Body Butter,Tree Hut Tropic Glow Firming Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,15.99,GBP,GBP,Boots.com,Holland & Barrett,92.4,72.37,100.0,50.0
PRD9046cb21,PRD4a7fd539,Dr Organic Aloe Vera Body Butter,Dr. Organic Manuka Honey Body Cream,Dr Organic,Dr. Organic,Body Butter,,,,,11.99,11.99,GBP,GBP,Holland & Barrett,Amazon.co.uk,73.3,53.33,100.0,50.0
PRDf2b13eb3,PRDfd3ca522,I Love Coconut & Cream Body Butter,I Love Cosmetics Women's English Rose Body Butter,I Love,I Love,Body Butter,,,,,2.49,7.99,GBP,GBP,Wilko,Amazon.co.uk - Amazon.co.uk-Seller,77.7,57.75,100.0,50.0
PRDf2b13eb3,PRD01f73956,I Love Coconut & Cream Body Butter,I Love Wellness Sleep Body Butter,I Love,I Love,Body Butter,,,,,2.49,9.99,GBP,GBP,Wilko,Amazon.co.uk - Amazon.co.uk-Seller,83.2,63.2,100.0,50.0
PRDf2b13eb3,PRD8ce93f8d,I Love Coconut & Cream Body Butter,I Love Cosmetics Vanilla Milk Body Butter,I Love,I Love,Body Butter,,,,,2.49,9.99,GBP,GBP,Wilko,Amazon.co.uk - Amazon.co.uk-Seller,81.0,60.98,100.0,50.0
