product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,name_similarity,brand_similarity,size_similarity,valid_match
PRD0f733f9f,PRDfa3f214e,Arista Shampoo Bar Anti-dandruff,Handmade Anti-dandruff Shampoo Bar For Hair Growth Care Soap,Arista Shampoo,Handmade Anti-dandruff,Shampoo Bar,80.0,g,80.0,g,6.89,18.67,GBP,GBP,Fairhaven Wholefoods,eBay - mount0851,72.2,67.18,0.0,100.0,True
PRD1013f8e3,PRDe522a9dd,La Roche Posay Hyalu B5 Hyaluronic Acid Serum,La Roche Posay Cicaplast B5 Serum,La Roche,La Roche,Face Serum,,,,,35.98,40.0,GBP,GBP,Superdrug.com,Boots.com,91.5,71.51,100.0,50.0,True
PRD13bb90a1,PRDf1dd78e3,Garnier Brightening Serum,Garnier Vitamin C Brightening and Anti Dark Spot Serum Duo,Garnier,Garnier,Face Serum,,,,,9.33,19.49,GBP,GBP,Boots.com,LOOKFANTASTIC,92.0,72.0,100.0,50.0,True
PRD13d1af7c,PRD88f67225,Organic Shop Nurturing Body Cream Blueberry&Blackberry,Organic Shop Nurturing Body Cream Blueberry & Blackberry,Organic Shop,Organic Shop,Body Butter,,,250.0,ml,2.25,2.25,GBP,GBP,Superdrug.com,Superdrug.com,100.0,100.0,100.0,50.0,True
PRD1558042d,PRD49a2a30e,"Solid Shampoo Bar & Conditioner Bar Set For Curly, Wavy, Coily And","Solid Shampoo For Curly Hair, 80",Solid Shampoo,Solid Shampoo,Shampoo Bar,,,,,12.47,28.41,GBP,GBP,eBay,eBay - onebioshopcom,94.4,64.44,100.0,50.0,True
PRD164e18d5,PRDe35a5fb3,ethique Clarifying Shampoo Bar for Oily Hair & Scalp 10 Uses,ethique Smoothing Shampoo Bar for Frizzy Hair 10 Uses,,,Shampoo Bar,,,,,3.0,3.0,GBP,GBP,Ethique GB,Ethique GB,71.9,71.87,50.0,50.0,True
PRD16ccacb6,PRD736548b6,"20% Vitamin C Serum, Korean Serum with Hyaluronic Acid, Anti Aging Face Serums For Wrinkles & Fine Lines, Moisturizing Dark Spot Remover for Face","20% Vitamin C Serum, Korean Skin Care Serum with Hyaluronic Acid, Anti-aging Face Serum for Dry and Dull Skin, Reduce Wrinkles & Fine Lines, Fast",,,Face Serum,,,,,7.99,7.19,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,82.1,72.08,50.0,50.0,True
PRD17d42fdf,PRD3d2887a7,Eco Warrior Nourishing Shampoo Bar,Eco Warrior Blue Shampoo Bar,Eco Warrior,Eco Warrior,Shampoo Bar,,,,,5.5,6.5,GBP,GBP,Tesco,Justmylook,100.0,80.78,100.0,50.0,True
PRD1800de9b,PRDb61b0db5,Mint & Tea Tree Shampoo Bar,Tea Tree & Mint Shampoo Bar,Mint,Tea Tree,Shampoo Bar,,,,,8.5,4.75,GBP,GBP,Bare Bar,Alphy & Becs,75.0,100.0,0.0,50.0,True
PRD1854213e,PRDdb039b35,"Nature Triangle Shampoo Bar,Control Oil & Strengthen Hair,Natural Shampoo Bar for Women & Men,2 in 1 Shampoo & Conditioner,Travel Shampoo,Cleansing","Nature Triangle Shampoo Bar, Nature Green Triangle Solide Shampoo Soap, Cleansing Nourishing Hair Strengthens Hair, for Women And Men ()",Nature Triangle,Nature Triangle,Shampoo Bar,,,2.0,pcs,9.99,9.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,80.4,60.42,100.0,50.0,True
PRD194963fe,PRDbdaf38ab,grüum Hår Brightening Lemon Shampoo Bar,grüum Hår Zero Plastic Shampoo Bar,,,Shampoo Bar,50.0,g,50.0,g,9.0,9.0,GBP,GBP,grüum,Amazon.co.uk - Amazon.co.uk-Seller,89.8,69.82,50.0,100.0,True
PRD1a37a082,PRDc32dd309,The Ordinary Marine Hyaluronics,The Ordinary Hyaluronic Acid 2% + B5,The Ordinary,The Ordinary,Face Serum,,,,,8.8,8.8,GBP,GBP,John Lewis & Partners,Boots.com,83.1,53.12,100.0,50.0,True
PRD1a3b4dcc,PRD9ad672c9,"Rosemary Shampoo Bar, Shampoo Bar with Rosemary & Coconut Oil, Nourish & Moisturize Hair, Solid Soap Easy for Travel",Rosemary Shampoo Bar,Rosemary Shampoo,Rosemary Shampoo,Shampoo Bar,,,,,9.59,2.95,GBP,GBP,fruugo.co.uk,fruugo.co.uk,88.6,68.57,100.0,50.0,True
PRD1a5b224c,PRD839de7e8,Lavender & Rosemary Shampoo Bar,Lavender & Tea Tree Shampoo Bar,Lavender,Lavender,Shampoo Bar,,,,,4.75,3.25,GBP,GBP,Alphy & Becs,Hell Yeah,89.7,69.66,100.0,50.0,True
PRD1c1228d1,PRD531eecf5,KinKind Give Me More Deep Conditioner Bar,KinKind Give Me Strength Conditioner Bar,KinKind Give,KinKind Give,Conditioner Bar,,,,,8.95,7.5,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,97.4,77.39,100.0,50.0,True
PRD1c771653,PRDe51784bf,skinnydip london Supermarket Vanilla Body Butter,Cocoa & Vanilla Body Butter,,Cocoa,Body Butter,200.0,g,,,8.0,15.99,GBP,GBP,Skinnydip,Amazon.co.uk - Amazon.co.uk-Seller,79.0,68.96,50.0,50.0,True
PRD1d5c7de4,PRDf97f8370,Beauty of Joseon Glow Deep Serum,Beauty of Joseon Light On Serum,Beauty,Beauty,Face Serum,,,,,12.75,14.39,GBP,GBP,Boots.com,Superdrug.com,89.8,69.81,100.0,50.0,True
PRD1e2d2b20,PRD30a3b49a,Soap & Glory Call of Fruity Body Butter,Soap & Glory MAGNIFI-COCO Body Butter,Soap,Soap,Body Butter,,,,,7.49,7.49,GBP,GBP,Boots.com,Boots.com,84.1,64.09,100.0,50.0,True
PRD1e850c4f,PRDc2643e4f,Faith in Nature Coconut & Shea Butter Shampoo Bar,Faith in Nature Shea & Argan Shampoo Bar,Faith in Nature,Faith in Nature,Shampoo Bar,,,,,7.0,5.25,GBP,GBP,Holland & Barrett,Natural Collection,100.0,81.52,100.0,50.0,True
PRD1f1a3333,PRD4ebccb85,Triangle Shampoo Bar,Natural Triangle Usman Grass Shampoo Bar,Triangle Shampoo,,Shampoo Bar,,,2.0,pcs,7.56,6.89,GBP,GBP,fruugo.co.uk,Amazon.co.uk - Amazon.co.uk-Seller,80.0,80.0,50.0,50.0,True
PRD1f1b0352,PRD5c42e109,"Coconut Conditioner Bar - Rich Nourishing & Volumizing - Hair Moisturizing & Strengthening Solid Soap Bar, Plastic-Free, Silicone & Sulfate Free",Coconut Conditioner Bar,Coconut Conditioner,Coconut Conditioner,Conditioner Bar,,,,,18.55,3.0,GBP,GBP,Snapklik.com,Independent Design Collective,88.0,68.0,100.0,50.0,True
PRD201ab1cd,PRD85157107,grüum Twin Pack Volumising Shampoo Bar Solid Shampoo Bars for Hair Up to 60 Washes,Grüum Twin Pack Nourishing Shampoo Bar - Solid Shampoo Bars for Hair Up to 60 Washes - Plastic Free Vegan Bar for Men & Women - Paraben Free Rich,,Grüum Twin,Shampoo Bar,50.0,g,50.0,g,16.0,15.0,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,99.5,79.53,50.0,100.0,True
PRD20a91ac1,PRDce3bdf79,Notice Hair Co. Stimulator Conditioner Bar,Notice Hair Co. Detoxifier Conditioner Bar,Notice Hair,Notice Hair,Conditioner Bar,,,,,9.85,9.85,GBP,GBP,Cheeks Ahoy,Cheeks Ahoy,99.3,79.28,100.0,50.0,True
PRD214bc95b,PRD6572e1b1,Friendly Soap Lavender & Geranium Shampoo Bar,Friendly Soap - Lavender & Tea Tree Shampoo Bar - Eco Friendly,Friendly Soap,Friendly Soap,Shampoo Bar,,,,,3.25,2.95,GBP,GBP,Hell Yeah,Indespoke,95.2,75.21,100.0,50.0,True
PRD223495c4,PRDdd85df46,"Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Usman Grass ShampooBar, Natural Plant Ingredients, Calming & Strengthens Hair for Women","Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &",Nature Triangle,Nature Triangle,Shampoo Bar,,,,,9.99,6.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,96.7,76.7,100.0,50.0,True
PRD22ae5503,PRDd8cac166,Superfly Soap Solid Hair Conditioner Bar,Superfly Soap Hair Conditioner Bar,Superfly Soap,Superfly Soap,Conditioner Bar,,,,,8.3,8.3,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,100.0,93.33,100.0,50.0,True
PRD23f263da,PRDca5f4122,Natural Hair Conditioning Bar – Bergamot,Natural Hair Conditioning Bar – Lavender,Natural Hair,Natural Hair,Conditioner Bar,,,,,4.99,4.99,GBP,GBP,Handmade Fever,Handmade Fever,98.6,78.61,100.0,50.0,True
PRD23f40b89,PRD24781688,Kitsch Castor Oil Nourishing Conditioner Bar,Kitsch Coconut Oil Deep Moisturizing Conditioner Bar,Kitsch,Kitsch,Conditioner Bar,,,,,12.0,11.0,GBP,GBP,Next,Kitsch,84.0,64.03,100.0,50.0,True
PRD24781688,PRDf57f1fc4,Kitsch Coconut Oil Deep Moisturizing Conditioner Bar,Kitsch Strengthening Hair Conditioner Bar with Rice Water Protein | Made in US | Eco-Friendly Cleansing and Moisturizing,Kitsch,Kitsch,Conditioner Bar,,,,,11.0,21.01,GBP,GBP,Kitsch,OnBuy.com,76.3,56.28,100.0,50.0,True
