product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,name_similarity,brand_similarity,size_similarity
PRD0ac1e5bb,PRD3b9ce914,Tree Hut Whipped Body Butter Vanilla,Tree Hut Tropic Glow Firming Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,15.99,GBP,GBP,Boots.com,Holland & Barrett,94.7,74.72,100.0,50.0
PRDab6f59b8,PRD07b14a1b,Palmer's Cocoa Butter Formula,Palmer's Cocoa Butter Formula Body Lotion,Palmer's Cocoa,Palmer's Cocoa,Body Butter,,,,,4.3,6.0,GBP,GBP,Tesco,Tesco,100.0,88.57,100.0,50.0
PRDab6f59b8,PRD30f1d99b,Palmer's Cocoa Butter Formula,Palmer's Cocoa Butter Formula Tummy Butter For Stretch Marks,Palmer's Cocoa,Palmer's Cocoa,Body Butter,,,,,4.3,6.99,GBP,GBP,Tesco,spotofglam.co.uk,100.0,82.22,100.0,50.0
PRDab6f59b8,PRD8ddeb742,Palmer's Cocoa Butter Formula,Palmer's Cocoa Butter Formula Lotion,Palmer's Cocoa,Palmer's Cocoa,Body Butter,,,,,4.3,4.49,GBP,GBP,Tesco,Boots.com,100.0,93.33,100.0,50.0
PRDad80f5ee,PRD47ea1152,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory Berry & Bright Body Butter,Soap,Soap,Body Butter,200.0,ml,200.0,ml,5.99,6.0,GBP,GBP,Boots.com,Boots.com,100.0,62.32,100.0,100.0
PRDad80f5ee,PRDa783e838,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory Limited Edition Fresh As Fig Body Butter,Soap,Soap,Body Butter,200.0,ml,,,5.99,5.99,GBP,GBP,Boots.com,Boots.com,93.6,73.64,100.0,50.0
PRD78142e75,PRDd987acec,Sanctuary Spa Signature Natural Oils Melting Pearl Body Butter,Sanctuary Spa Body Butter,Sanctuary Spa,Sanctuary Spa,Body Butter,300.0,ml,,,16.0,13.0,GBP,GBP,Ocado,Boots.com,97.8,77.78,100.0,50.0
PRD913efd69,PRDd987acec,Sanctuary Spa Lily & Rose Body Butter,Sanctuary Spa Body Butter,Sanctuary Spa,Sanctuary Spa,Body Butter,,,,,13.0,13.0,GBP,GBP,Boots.com,Boots.com,100.0,86.67,100.0,50.0
PRDe4842ed8,PRDd4a6232d,Soap & Glory Original The Righteous Butter Body Lotion,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,,,,,3.66,7.49,GBP,GBP,eBay,Boots.com,100.0,90.0,100.0,50.0
PRDe4842ed8,PRDeff54c48,Soap & Glory Original The Righteous Butter Body Lotion,Soap and Glory The Righteous Body Butter,Soap,Soap,Body Butter,,,,,3.66,9.99,GBP,GBP,eBay,Boots.com,100.0,83.51,100.0,50.0
PRDe4842ed8,PRDd4a6232d,Soap & Glory Original The Righteous Butter Body Lotion,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,,,,,3.66,49.85,GBP,GBP,eBay,eBay - jadashats-us,100.0,90.0,100.0,50.0
PRDe4842ed8,PRDa2063a8c,Soap & Glory Original The Righteous Butter Body Lotion,Soap & And Glory The Righteous Body Butter,Soap,Soap,Body Butter,,,600.0,ml,3.66,20.39,GBP,GBP,eBay,eBay - zorilus7,100.0,83.51,100.0,50.0
PRD07b14a1b,PRD8ddeb742,Palmer's Cocoa Butter Formula Body Lotion,Palmer's Cocoa Butter Formula Lotion,Palmer's Cocoa,Palmer's Cocoa,Body Butter,,,,,6.0,4.49,GBP,GBP,Tesco,Boots.com,100.0,94.29,100.0,50.0
PRD7afe8a16,PRD8fe440bd,Tree Hut Coco Colada Whipped Body Butter,Tree Hut Tropic Glow Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,11.99,GBP,GBP,Boots.com,Boots.com,91.6,71.63,100.0,50.0
PRD7afe8a16,PRD4a89a3ef,Tree Hut Coco Colada Whipped Body Butter,Tree Hut Moroccan Rose Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,15.99,GBP,GBP,Boots.com,Boots.com,91.6,71.63,100.0,50.0
PRD7afe8a16,PRD3e158b60,Tree Hut Coco Colada Whipped Body Butter,Tree Hut Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,15.99,GBP,GBP,Boots.com,Holland & Barrett,100.0,88.57,100.0,50.0
PRD8487deca,PRD8730dbc2,The Body Shop British Rose Body Butter,The Body Shop Mango Body Butter,The Body,The Body,Body Butter,,,,,4.99,4.07,GBP,GBP,Perfumes Club UK,Perfumes Club UK,95.0,75.03,100.0,50.0
PRD8487deca,PRD9cbc695a,The Body Shop British Rose Body Butter,The Body Shop Coconut Body Butter,The Body,The Body,Body Butter,,,,,4.99,17.47,GBP,GBP,Perfumes Club UK,Amazon.co.uk - Amazon.co.uk-Seller,92.9,72.86,100.0,50.0
PRD8fe440bd,PRD4a89a3ef,Tree Hut Tropic Glow Whipped Body Butter,Tree Hut Moroccan Rose Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,15.99,GBP,GBP,Boots.com,Boots.com,91.6,71.63,100.0,50.0
