retailer_id,source_id,retailer_name
RET0112bc93,SRC00000001,"{'url': 'https://soulandsoap.co.uk/products/tropical-mango-solid-shampoo-bar?variant=32391040073815&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoq6WbGHH7k3v_FtPSGk9lWbYQDtOlqfKaijTEWcOp_2uAXpz4_paBg', 'name': 'Soul and Soap'}"
RET011cdf9f,SRC00000001,"{'url': 'https://zuzkanaturalbeauty.co.uk/hair-care/vanilla-and-bergamot-solid-hair-conditioner-bar/', 'name': 'Zuzka'}"
RET012b9346,SRC00000001,"{'url': 'https://www.johnlewis.com/the-inkey-list-vitamin-c-serum-30ml/p111653294?size=30ml?utm_source=google&utm_medium=organic&utm_campaign=organicshopping&srsltid=AfmBOoq4mHrZ4oGFoCbzE1rOfolFV4rgAhzxoVP8cCZMNjFu2i9-M3_ltiw', 'name': 'John Lewis & Partners'}"
RET014141a2,SRC00000001,"{'url': 'https://global.oliveyoung.com/product/detail?prdtNo=GA240222295&accParam=170&srsltid=AfmBOoqUyo2vdRur57T67HNlqiSAc-il9IELsffUiGhVV9ttqD72PVdTW3c', 'name': 'Olive Young Global'}"
RET01587673,SRC00000001,"{'url': 'https://foxandmarsh.com/products/the-natural-spa-shampoo-bar-spiced-orange?variant=44392403108027&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqYyU7vZNl5_afomJr8pl-hh19dm-vAiWjrCzBc8_akYuEWPDtQn7I', 'name': 'Fox & Marsh - Eco Dorset'}"
RET0163fba1,SRC00000001,"{'url': 'https://www.superdrug.com/hair/everyday-conditioner/nope-into-the-deep-conditioner-bar-43g/p/mp-00013773', 'name': 'Superdrug.com'}"
RET01720a32,SRC00000001,"{'url': 'https://www.amazon.co.uk/Organic-Virgin-Shea-Butter-160G/dp/B01LXP5BQT?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A16DUE366OAMDF', 'name': 'Amazon.co.uk - Amazon.co.uk-Seller'}"
RET01725cfb,SRC00000001,"{'url': 'https://www.niche-beauty.com/en-gb/products/mutha-body-butter-glow/687-017?glCountry=GB&trac=NB_GB.01.01_Shopping.P_Shopping.Google.20221958076.adgroupdummy.687-017.Free-Listings.PM', 'name': 'Niche-Beauty.com'}"
RET019b0ddc,SRC00000001,Beautycos.co.uk
RET019d1b1f,SRC00000001,"{'url': 'https://esther.co.il/en/products/%D7%90%D7%9C%D7%99%D7%A7%D7%A1%D7%99%D7%A8-%D7%9E%D7%96%D7%99%D7%9F-%D7%9C%D7%A4%D7%A0%D7%99%D7%9D-%D7%A7%D7%9E%D7%95%D7%9E%D7%99%D7%9C-%D7%9E%D7%A8%D7%95%D7%A7%D7%90%D7%99-%D7%9B%D7%97%D7%95%D7%9C-copy?variant=50156049957150&country=AU&currency=ILS&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopYsUDUM4nJ8aJjVYcFT5QGijk2mm3dHs8GBbmZkgUfUHfSgAgE6Cg', 'name': 'Esther Skincare'}"
